quotes,authors,categories
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",Steve Jobs,Future
You cannot escape the responsibility of tomorrow by evading it today.,Abraham Lincoln,Future
There is nothing like a dream to create the future.,Victor Hugo,Future
The future rewards those who press on. I don't have time to feel sorry for myself. I don't have time to complain. I'm going to press on.,Barack Obama,Future
A person often meets his destiny on the road he took to avoid it.,Jean de La Fontaine,Future
The secret of your future is hidden in your daily routine.,Mike Murdock,Future
It is not in the stars to hold our destiny but in ourselves.,William Shakespeare,Future
"Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.",Marcus Aurelius,Future
The youth is the hope of our future.,Jose Rizal,Future
Only you can control your future.,Dr. Seuss,Future
You can never plan the future by the past.,Edmund Burke,Future
"I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.",Alan Watts,Future
"If you think in terms of a year, plant a seed; if in terms of ten years, plant trees; if in terms of 100 years, teach the people.",Confucius,Future
Tomorrow is only found in the calendar of fools.,Og Mandino,Future
"If we open a quarrel between past and present, we shall find that we have lost the future.",Winston Churchill,Future
"The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future.",Oscar Wilde,Future
"I don't know what the future may hold, but I know who holds the future.",Ralph Abernathy,Future
"The distinction between the past, present and future is only a stubbornly persistent illusion.",Albert Einstein,Future
"The factory of the future will have only two employees, a man and a dog. The man will be there to feed the dog. The dog will be there to keep the man from touching the equipment.",Warren Bennis,Future
In this bright future you can't forget your past.,Bob Marley,Future
"The future starts today, not tomorrow.",Pope John Paul II,Future
"Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.",William Jennings Bryan,Future
"Prediction is very difficult, especially if it's about the future.",Niels Bohr,Future
Let us put our minds together and see what life we can make for our children.,Sitting Bull,Future
The future ain't what it used to be.,Yogi Berra,Future
"Fear not for the future, weep not for the past.",Percy Bysshe Shelley,Future
I don't try to describe the future. I try to prevent it.,Ray Bradbury,Future
Map out your future - but do it in pencil. The road ahead is as long as you make it. Make it worth the trip.,Jon Bon Jovi,Future
Do your duty and a little more and the future will take care of itself.,Andrew Carnegie,Future
Neither a wise man nor a brave man lies down on the tracks of history to wait for the train of the future to run over him.,Dwight D. Eisenhower,Future
Control your own destiny or someone else will.,Jack Welch,Future
The future influences the present just as much as the past.,Friedrich Nietzsche,Future
"If you do not think about your future, you cannot have one.",John Galsworthy,Future
It took the madmen of yesterday for us to be able to act with extreme clarity today. I want to be one of those madmen. We must dare to invent the future.,Thomas Sankara,Future
My interest is in the future because I am going to spend the rest of my life there.,Charles Kettering,Future
"When the past no longer illuminates the future, the spirit walks in darkness.",Alexis de Tocqueville,Future
"America's future will be determined by the home and the school. The child becomes largely what he is taught; hence we must watch what we teach, and how we live.",Jane Addams,Future
What we need to do is always lean into the future; when the world changes around you and when it changes against you - what used to be a tail wind is now a head wind - you have to lean into that and figure out what to do because complaining isn't a strategy.,Jeff Bezos,Future
I look to the future because that's where I'm going to spend the rest of my life.,George Burns,Future
"Every man has his own destiny: the only imperative is to follow it, to accept it, no matter where it leads him.",Henry Miller,Future
There is always one moment in childhood when the door opens and lets the future in.,Graham Greene,Future
