quotes,authors,categories
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln,God
Coincidence is God's way of remaining anonymous.,Albert Einstein,God
Do not let your hearts be troubled. Trust in God; trust also in me.,Jesus Christ,God
God has entrusted me with myself.,Epictetus,God
"We need to find God, and he cannot be found in noise and restlessness. God is the friend of silence. See how nature - trees, flowers, grass- grows in silence; see the stars, the moon and the sun, how they move in silence... We need silence to be able to touch souls.",Mother Teresa,God
"God has given us two hands, one to receive with and the other to give with.",Billy Graham,God
"God gave you a gift of 86,400 seconds today. Have you used one to say 'thank you?'",William Arthur Ward,God
God meets daily needs daily. Not weekly or annually. He will give you what you need when it is needed.,Max Lucado,God
"God has given you one face, and you make yourself another.",William Shakespeare,God
Men must be governed by God or they will be ruled by tyrants.,William Penn,God
Heaven means to be one with God.,Confucius,God
"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.",Anne Frank,God
"God and Nature first made us what we are, and then out of our own created genius we make ourselves what we want to be. Follow always that great law. Let the sky and God be our limit and Eternity our measurement.",Marcus Garvey,God
"Disappointment is inevitable. But to become discouraged, there's a choice I make. God would never discourage me. He would always point me to himself to trust him. Therefore, my discouragement is from Satan. As you go through the emotions that we have, hostility is not from God, bitterness, unforgiveness, all of these are attacks from Satan.",Charles Stanley,God
Every child comes with the message that God is not yet discouraged of man.,Rabindranath Tagore,God
"People see God every day, they just don't recognize him.",Pearl Bailey,God
For prayer is nothing else than being on terms of friendship with God.,Saint Teresa of Avila,God
One and God make a majority.,Frederick Douglass,God
Some of God's greatest gifts are unanswered prayers.,Garth Brooks,God
Reason is God's crowning gift to man.,Sophocles,God
"My trust in God flows out of the experience of his loving me, day in and day out, whether the day is stormy or fair, whether I'm sick or in good health, whether I'm in a state of grace or disgrace. He comes to me where I live and loves me as I am.",Brennan Manning,God
"Not only does God play dice, but... he sometimes throws them where they cannot be seen.",Stephen Hawking,God
"I just want to do God's will. And he's allowed me to go to the mountain. And I've looked over, and I've seen the promised land! I may not get there with you, but I want you to know tonight that we as a people will get to the promised land.","Martin Luther King, Jr.",God
What God intended for you goes far beyond anything you can imagine.,Oprah Winfrey,God
God never ends anything on a negative; God always ends on a positive.,Edwin Louis Cole,God
"I believe God is managing affairs and that He doesn't need any advice from me. With God in charge, I believe everything will work out for the best in the end. So what is there to worry about.",Henry Ford,God
Start with God - the first step in learning is bowing down to God; only fools thumb their noses at such wisdom and learning.,King Solomon,God
God used beautiful mathematics in creating the world.,Paul Dirac,God
"Never trust anyone completely but God. Love people, but put your full trust only in God.",Lawrence Welk,God
"God will not permit any troubles to come upon us, unless He has a specific plan by which great blessing can come out of the difficulty.",Peter Marshall,God
Life is God's novel. Let him write it.,Isaac Bashevis Singer,God
"God is a verb, not a noun.",R. Buckminster Fuller,God
I sometimes think that God in creating man somewhat overestimated his ability.,Oscar Wilde,God
"If God had wanted me otherwise, He would have created me otherwise.",Johann Wolfgang von Goethe,God
"The Bible is one of the greatest blessings bestowed by God on the children of men. It has God for its author; salvation for its end, and truth without any mixture for its matter. It is all pure.",John Locke,God
They always win who side with God.,Frederick William Faber,God
Whatever comes from God is impossible for a man to turn back.,Herodotus,God
"Where mercy, love, and pity dwell, there God is dwelling too.",William Blake,God
God is bigger than people think.,Jimmy Dean,God
"God's truth judges created things out of love, and Satan's truth judges them out of envy and hatred.",Dietrich Bonhoeffer,God
"Start living now. Stop saving the good china for that special occasion. Stop withholding your love until that special person materializes. Every day you are alive is a special occasion. Every minute, every breath, is a gift from God.",Mary Manin Morrissey,God
Every morning I wake up and thank God.,Aaron Neville,God
"Young man, young man, your arm's too short to box with God.",James Weldon Johnson,God
Laughter is God's blessing.,Joseph Prince,God
"There's only one effectively redemptive sacrifice, the sacrifice of self-will to make room for the knowledge of God.",Aldous Huxley,God
It may be that our role on this planet is not to worship God - but to create him.,Arthur C. Clarke,God
God gave me life to continue to do things that I would never have done.,Stevie Wonder,God
God made the world round so we would never be able to see too far down the road.,Karen Blixen,God
God is not a cosmic bellboy for whom we can press a button to get things.,Harry Emerson Fosdick,God
"I cannot think that we are useless or God would not have created us. There is one God looking down on us all. We are all the children of one God. The sun, the darkness, the winds are all listening to what we have to say.",Geronimo,God
The soul can split the sky in two and let the face of God shine through.,Edna St. Vincent Millay,God
Trust in God - she will provide.,Emmeline Pankhurst,God
My walk on the moon lasted three days. My walk with God will last forever.,Charles Duke,God
"God who is eternally complete, who directs the stars, who is the master of fates, who elevates man from his lowliness to Himself, who speaks from the cosmos to every single human soul, is the most brilliant manifestation of the goal of perfection.",Alfred Adler,God
Cast your cares on God; that anchor holds.,Frank Moore Colby,God
"God gets you to the plate, but once your there your on your own.",Ted Williams,God
Nothing that is God's is obtainable by money.,Tertullian,God
"To lovers of the truth, nothing can be put before God and hope in Him.",Saint Basil,God
"The Bible is not man's word about God, but God's word about man.",John Barth,God
"There is no place in my soul, no corner of my character, where God is not.",Evelyn Underhill,God
God is the tangential point between zero and infinity.,Alfred Jarry,God
"In almost everything that touches our everyday life on earth, God is pleased when we're pleased. He wills that we be as free as birds to soar and sing our maker's praise without anxiety.",Aiden Wilson Tozer,God
Each one of us is an outlet to God and an inlet to God.,Ernest Holmes,God
"What ever disunites man from God, also disunites man from man.",Edmund Burke,God
"The Bible is a revelation of the mind and will of God to men. Therein we may learn, what God is.",Jupiter Hammon,God
God sent Jesus as an example to see if we could retain and maintain the Holy Spirit in human flesh.,Benny Hinn,God
"There are two kinds of people: those who say to God, 'Thy will be done,' and those to whom God says, 'All right, then, have it your way.'",C. S. Lewis,God
"God is one, greatest of gods and men, not like mortals in body or thought.",Xenophanes,God
"God is an unutterable sigh, planted in the depths of the soul.",Jean Paul,God
"The world sees in our conduct, in our behaviour, the proof that we are the real children of God.",Pope Shenouda III,God
"Our Lord has written the promise of resurrection, not in books alone, but in every leaf in springtime.",Martin Luther,God
Even God lends a hand to honest boldness.,Menander,God
"When the solution is simple, God is answering.",Albert Einstein,God
"God the Father and God the Son cannot be everywhere present; indeed they cannot be even in two places at the same instant: but God the Holy Spirit is omnipresent - it extends through all space, with all other matter.",Orson Pratt,God
"Your God is ever beside you - indeed, He is even within you.",Alphonsus Liguori,God
"God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.",Soren Kierkegaard,God
"The Christian life is not a constant high. I have my moments of deep discouragement. I have to go to God in prayer with tears in my eyes, and say, 'O God, forgive me,' or 'Help me.'",Billy Graham,God
"O Holy Spirit, descend plentifully into my heart. Enlighten the dark corners of this neglected dwelling and scatter there Thy cheerful beams.",Saint Augustine,God
"A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word, 'darkness' on the walls of his cell.",C. S. Lewis,God
God does not play dice.,Albert Einstein,God
"I don't stand for the black man's side, I don' t stand for the white man's side. I stand for God's side.",Bob Marley,God
"What I see in the Bible, especially in the book of Psalms, which is a book of gratitude for the created world, is a recognition that all good things on Earth are God's, every good gift is from above. They are good if we recognize where they came from and if we treat them the way the Designer intended them to be treated.",Philip Yancey,God
God is creating at every moment of the world's existence in and through the perpetually endowed creativity of the very stuff of the world.,Arthur Peacocke,God
I think that anything that begins to give people a sense of their own worth and dignity is God.,John Shelby Spong,God
"The moment I have realized God sitting in the temple of every human body, the moment I stand in reverence before every human being and see God in him - that moment I am free from bondage, everything that binds vanishes, and I am free.",Swami Vivekananda,God
One must be very particular about telling the truth. Through truth one can realize God.,Ramakrishna,God
"If God did not exist, it would be necessary to invent Him.",Voltaire,God
"Behold, I stand at the door and knock. If anyone hears my voice and opens the door, I will come in to him and eat with him, and he with me.",Jesus Christ,God
Before we can know God and understand his great plan it is first necessary for us to believe that he exists and that he rewards all who diligently seek him.,Joseph Franklin Rutherford,God
"Our heavenly Father understands our disappointment, suffering, pain, fear, and doubt. He is always there to encourage our hearts and help us understand that He's sufficient for all of our needs. When I accepted this as an absolute truth in my life, I found that my worrying stopped.",Charles Stanley,God
I want to know all Gods thoughts; all the rest are just details.,Albert Einstein,God
God is best known in not knowing him.,Saint Augustine,God
Sometimes you ask God for something and you don't know what you're asking.,Mahalia Jackson,God
