quotes,authors,categories
Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.,John Adams,Government
The best argument against democracy is a five-minute conversation with the average voter.,Winston Churchill,Government
The most terrifying words in the English language are: I'm from the government and I'm here to help.,Ronald Reagan,Government
The problem with socialism is that you eventually run out of other peoples' money.,Margaret Thatcher,Government
Nationalism is an infantile disease. It is the measles of mankind.,Albert Einstein,Government
How can anyone govern a nation that has two hundred and forty-six different kinds of cheese?,Charles de Gaulle,Government
"If government were a product, selling it would be illegal.",P. J. O'Rourke,Government
"We are fast approaching the stage of the ultimate inversion: the stage where the government is free to do anything it pleases, while the citizens may act only by permission; which is the stage of the darkest periods of human history, the stage of rule by brute force.",Ayn Rand,Government
A government big enough to give you everything you want is a government big enough to take from you everything you have.,Gerald R. Ford,Government
"If men were angels, no government would be necessary.",James Madison,Government
An oppressive government is more to be feared than a tiger.,Confucius,Government
America is a land of taxation that was founded to avoid taxation.,Laurence J. Peter,Government
"Government, even in its best state, is but a necessary evil; in its worst state, an intolerable one.",Thomas Paine,Government
"Let us never forget that government is ourselves and not an alien power over us. The ultimate rulers of our democracy are not a President and senators and congressmen and government officials, but the voters of this country.",Franklin D. Roosevelt,Government
"A state is better governed which has few laws, and those laws strictly observed.",Rene Descartes,Government
Governing a great nation is like cooking a small fish - too much handling will spoil it.,Lao Tzu,Government
"The care of human life and happiness, and not their destruction, is the first and only object of good government.",Thomas Jefferson,Government
I'd rather entrust the government of the United States to the first 400 people listed in the Boston telephone directory than to the faculty of Harvard University.,"William F. Buckley, Jr.",Government
"It was once said that the moral test of government is how that government treats those who are in the dawn of life, the children; those who are in the twilight of life, the elderly; and those who are in the shadows of life, the sick, the needy and the handicapped.",Hubert H. Humphrey,Government
Democracy is the art and science of running the circus from the monkey cage.,H. L. Mencken,Government
"Corruption is the enemy of development, and of good governance. It must be got rid of. Both the government and the people at large must come together to achieve this national objective.",Pratibha Patil,Government
"The government is us; we are the government, you and I.",Theodore Roosevelt,Government
I am sometimes a fox and sometimes a lion. The whole secret of government lies in knowing when to be the one or the other.,Napoleon Bonaparte,Government
"The government, which was designed for the people, has got into the hands of the bosses and their employers, the special interests. An invisible empire has been set up above the forms of democracy.",Woodrow Wilson,Government
"In the absence of justice, what is sovereignty but organized robbery?",Saint Augustine,Government
Democracy gives every man the right to be his own oppressor.,James Russell Lowell,Government
"To rule is easy, to govern difficult.",Johann Wolfgang von Goethe,Government
The oppressed are allowed once every few years to decide which particular representatives of the oppressing class are to represent and repress them in parliament.,Vladimir Lenin,Government
Let the people think they govern and they will be governed.,William Penn,Government
"It's not tyranny we desire; it's a just, limited, federal government.",Alexander Hamilton,Government
You don't pay taxes - they take taxes.,Chris Rock,Government
"In a free society, government reflects the soul of its people. If people want change at the top, they will have to live in different ways. Our major social problems are not the cause of our decadence. They are a reflection of it.",Cal Thomas,Government
It's not the voting that's democracy; it's the counting.,Tom Stoppard,Government
A democratic government is the only one in which those who vote for a tax can escape the obligation to pay it.,Alexis de Tocqueville,Government
"By definition, a government has no conscience. Sometimes it has a policy, but nothing more.",Albert Camus,Government
"For in reason, all government without the consent of the governed is the very definition of slavery.",Jonathan Swift,Government
"Our government... teaches the whole people by its example. If the government becomes the lawbreaker, it breeds contempt for law; it invites every man to become a law unto himself; it invites anarchy.",Louis D. Brandeis,Government
Democracy is an abuse of statistics.,Jorge Luis Borges,Government
The world will not accept dictatorship or domination.,Mikhail Gorbachev,Government
The worst evils which mankind has ever had to endure were inflicted by bad governments.,Ludwig von Mises,Government
"The genius of our ruling class is that it has kept a majority of the people from ever questioning the inequity of a system where most people drudge along, paying heavy taxes for which they get nothing in return.",Gore Vidal,Government
"Government's view of the economy could be summed up in a few short phrases: If it moves, tax it. If it keeps moving, regulate it. And if it stops moving, subsidize it.",Ronald Reagan,Government
"When I read about the way in which library funds are being cut and cut, I can only think that American society has found one more way to destroy itself.",Isaac Asimov,Government
"A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.",Thomas Jefferson,Government
