quotes,authors,categories
The doer alone learneth.,Friedrich Nietzsche,Graduation
"God will not look you over for medals degrees or diplomas, but for scars.",Elbert Hubbard,Graduation
"The idea of winning a doctor's degree gradually assumed the aspect of a great moral struggle, and the moral fight possessed immense attraction for me.",Elizabeth Blackwell,Graduation
"The essence of Government is power; and power, lodged as it must be in human hands, will ever be liable to abuse.",James Madison,Graduation
"Some people drink from the fountain of knowledge, others just gargle.",Robert Anthony,Graduation
For good nurture and education implant good constitutions.,Plato,Graduation
Being considerate of others will take your children further in life than any college degree.,Marian Wright Edelman,Graduation
This man used to go to school with his dog. Then they were separated. His dog graduated!,Henny Youngman,Graduation
We don't stop going to school when we graduate.,Carol Burnett,Graduation
You are educated. Your certification is in your degree. You may think of it as the ticket to the good life. Let me ask you to think of an alternative. Think of it as your ticket to change the world.,Tom Brokaw,Graduation
It is virtually impossible to compete in today's global economy without a college degree.,Bobby Scott,Graduation
Knowledge is invariably a matter of degree: you cannot put your finger upon even the simplest datum and say this we know.,T. S. Eliot,Graduation
Never go to your high school reunion pregnant or they will think that is all you have done since you graduated.,Erma Bombeck,Graduation
All real education is the architecture of the soul.,William Bennett,Graduation
"I learned law so well, the day I graduated I sued the college, won the case, and got my tuition back.",Fred Allen,Graduation
"God wants us to know that life is a series of beginnings, not endings. Just as graduations are not terminations, but commencements. Creation is an ongoing process, and when we create a perfect world where love and compassion are shared by all, suffering will cease.",Bernie Siegel,Graduation
"In this outward and physical ceremony we attest once again to the inner and spiritual strength of our Nation. As my high school teacher, Miss Julia Coleman, used to say: 'We must adjust to changing times and still hold to unchanging principles.'",Jimmy Carter,Graduation
It might be said now that I have the best of both worlds. A Harvard education and a Yale degree.,John F. Kennedy,Graduation
"You are graduating from college. That means that this is the first day of the last day of your life. No, that's wrong. This is the last day of the first day of school. Nope, that's worse. This is a day.",Andy Samberg,Graduation
I accidentally forgot to graduate from college.,Anne Lamott,Graduation
"Life is the most exciting opportunity we have. But we have one shot. You graduate from college once, and that's it. You're going out of that nest. And you have to find that courage that's deep, deep, deep in there. Every step of the way.",Andrew Shue,Graduation
I'm not impressed by someone's degree... I'm impressed by them making movies.,Richard King,Graduation
When I graduated college I had a series of just humiliating jobs that I couldn't believe I was at.,Lena Dunham,Graduation
