quotes,authors,categories
"Some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare,Great
Great minds discuss ideas; average minds discuss events; small minds discuss people.,Eleanor Roosevelt,Great
Great things are done by a series of small things brought together.,Vincent Van Gogh,Great
"It's hard to be humble, when you're as great as I am.",Muhammad Ali,Great
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,Great
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward,Great
"If you cannot do great things, do small things in a great way.",Napoleon Hill,Great
"The heights by great men reached and kept were not attained by sudden flight, but they, while their companions slept, were toiling upward in the night.",Henry Wadsworth Longfellow,Great
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.",Vince Lombardi,Great
Behind every great fortune lies a great crime.,Honore de Balzac,Great
The price of greatness is responsibility.,Winston Churchill,Great
A man's worth is no greater than his ambitions.,Marcus Aurelius,Great
The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile.,Plato,Great
Great spirits have always encountered violent opposition from mediocre minds.,Albert Einstein,Great
"After climbing a great hill, one only finds that there are many more hills to climb.",Nelson Mandela,Great
The greatness of a nation can be judged by the way its animals are treated.,Mahatma Gandhi,Great
"To achieve great things, two things are needed; a plan, and not quite enough time.",Leonard Bernstein,Great
Nothing great in the world has ever been accomplished without passion.,Georg Wilhelm Friedrich Hegel,Great
Little minds are tamed and subdued by misfortune; but great minds rise above them.,Washington Irving,Great
The greatest weapon against stress is our ability to choose one thought over another.,William James,Great
Those who dare to fail miserably can achieve greatly.,John F. Kennedy,Great
The greatest discovery of all time is that a person can change his future by merely changing his attitude.,Oprah Winfrey,Great
"The greater the obstacle, the more glory in overcoming it.",Moliere,Great
The greatest mistake you can make in life is continually fearing that you'll make one.,Elbert Hubbard,Great
The greatest way to live with honor in this world is to be what we pretend to be.,Socrates,Great
Never was anything great achieved without danger.,Niccolo Machiavelli,Great
"There is no greatness where there is no simplicity, goodness and truth.",Leo Tolstoy,Great
We are all faced with a series of great opportunities brilliantly disguised as impossible situations.,Charles R. Swindoll,Great
Great things are not accomplished by those who yield to trends and fads and popular opinion.,Jack Kerouac,Great
"To become truly great, one has to stand with people, not above them.",Montesquieu,Great
Could a greater miracle take place than for us to look through each other's eyes for an instant?,Henry David Thoreau,Great
It is a rough road that leads to the heights of greatness.,Lucius Annaeus Seneca,Great
"Just do what must be done. This may not be happiness, but it is greatness.",George Bernard Shaw,Great
What wisdom can you find that is greater than kindness?,Jean-Jacques Rousseau,Great
"Greatness lies, not in being strong, but in the right using of strength; and strength is not used rightly when it serves only to carry a man above his fellows for his own solitary glory. He is the greatest whose strength carries up the most hearts by the attraction of his own.",Henry Ward Beecher,Great
Life is either a great adventure or nothing.,Helen Keller,Great
The greatest happiness is to know the source of unhappiness.,Fyodor Dostoevsky,Great
The greatest good you can do for another is not just to share your riches but to reveal to him his own.,Benjamin Disraeli,Great
"Good artists copy, great artists steal.",Pablo Picasso,Great
The great man is he who does not lose his child's-heart.,Mencius,Great
"Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.",Theodore Roosevelt,Great
"The principles of living greatly include the capacity to face trouble with courage, disappointment with cheerfulness, and trial with humility.",Thomas S. Monson,Great
"The great question that has never been answered, and which I have not yet been able to answer, despite my thirty years of research into the feminine soul, is 'What does a woman want?'",Sigmund Freud,Great
One of the greatest diseases is to be nobody to anybody.,Mother Teresa,Great
"You are your greatest asset. Put your time, effort and money into training, grooming, and encouraging your greatest asset.",Tom Hopkins,Great
The greatest mistake we make is living in constant fear that we will make one.,John C. Maxwell,Great
Good health and good sense are two of life's greatest blessings.,Publilius Syrus,Great
One sees great things from the valley; only small things from the peak.,Gilbert K. Chesterton,Great
"A man is great by deeds, not by birth.",Chanakya,Great
A great man is different from an eminent one in that he is ready to be the servant of the society.,B. R. Ambedkar,Great
"Be great in act, as you have been in thought.",Jean Paul,Great
Don't be humble... you're not that great.,Golda Meir,Great
Only those who dare to fail greatly can ever achieve greatly.,Robert Kennedy,Great
"See everything, overlook a great deal, correct a little.",Pope John XXIII,Great
"The greater the effort, the greater the glory.",Pierre Corneille,Great
"Only passions, great passions can elevate the soul to great things.",Denis Diderot,Great
"Character may be manifested in the great moments, but it is made in the small ones.",Phillips Brooks,Great
"Great people talk about ideas, average people talk about things, and small people talk about wine.",Fran Lebowitz,Great
A great pleasure in life is doing what people say you cannot do.,Walter Bagehot,Great
"Great wisdom is generous; petty wisdom is contentious. Great speech is impassioned, small speech cantankerous.",Zhuangzi,Great
"Heaven and hell suppose two distinct species of men, the good and the bad. But the greatest part of mankind float betwixt vice and virtue.",David Hume,Great
You need a little bit of insanity to do great things.,Henry Rollins,Great
Believe deep down in your heart that you're destined to do great things.,Joe Paterno,Great
"Do you wish to be great? Then begin by being. Do you desire to construct a vast and lofty fabric? Think first about the foundations of humility. The higher your structure is to be, the deeper must be its foundation.",Saint Augustine,Great
Great talents are the most lovely and often the most dangerous fruits on the tree of humanity. They hang upon the most slender twigs that are easily snapped off.,Carl Jung,Great
"I think what motivates people is not great hate, but great love for other people.",Huey Newton,Great
Small opportunities are often the beginning of great enterprises.,Demosthenes,Great
"Great minds are to make others great. Their superiority is to be used, not to break the multitude to intellectual vassalage, not to establish over them a spiritual tyranny, but to rouse them from lethargy, and to aid them to judge for themselves.",William Ellery Channing,Great
"The greater the artist, the greater the doubt. Perfect confidence is granted to the less talented as a consolation prize.",Robert Hughes,Great
Don't be afraid to give up the good for the great.,Kenny Rogers,Great
Great things are done when men and mountains meet.,William Blake,Great
I have learned to use the word 'impossible' with the greatest caution.,Wernher von Braun,Great
"Every great work, every big accomplishment, has been brought into manifestation through holding to the vision, and often just before the big achievement, comes apparent failure and discouragement.",Florence Scovel Shinn,Great
"For the person for whom small things do not exist, the great is not great.",Jose Ortega y Gasset,Great
"Believe that with your feelings and your work you are taking part in the greatest; the more strongly you cultivate this belief, the more will reality and the world go forth from it.",Rainer Maria Rilke,Great
The appearance of a single great genius is more than equivalent to the birth of a hundred mediocrities.,Cesare Lombroso,Great
There would be no great men if there were no little ones.,George Herbert,Great
There is no greater agony than bearing an untold story inside you.,Maya Angelou,Great
"The greater the difficulty, the more the glory in surmounting it.",Charles de Saint-Évremond,Great
All truly great thoughts are conceived by walking.,Friedrich Nietzsche,Great
"To be really great in little things, to be truly noble and heroic in the insipid details of everyday life, is a virtue so rare as to be worthy of canonization.",Harriet Beecher Stowe,Great
"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.",Winston Churchill,Great
"Our greatest glory is not in never failing, but in rising up every time we fail.",Ralph Waldo Emerson,Great
"The most characteristic mark of a great mind is to choose some one important object, and pursue it for life.",Anna Letitia Barbauld,Great
"Lives of great men all remind us, we can make our lives sublime, and, departing, leave behind us, footprints on the sands of time.",Henry Wadsworth Longfellow,Great
"That some achieve great success, is proof to all that others can achieve it as well.",Abraham Lincoln,Great
"I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.",Helen Keller,Great
The final proof of greatness lies in being able to endure criticism without resentment.,Elbert Hubbard,Great
We grow small trying to be great.,E. Stanley Jones,Great
Trust men and they will be true to you; treat them greatly and they will show themselves great.,Ralph Waldo Emerson,Great
The demand to be loved is the greatest of all arrogant presumptions.,Friedrich Nietzsche,Great
"Great achievement is usually born of great sacrifice, and is never the result of selfishness.",Napoleon Hill,Great
"I am the greatest, I said that even before I knew I was.",Muhammad Ali,Great
All great achievements require time.,Maya Angelou,Great
Great acts are made up of small deeds.,Lao Tzu,Great
"Whatever I have tried to do in life, I have tried with all my heart to do it well; whatever I have devoted myself to, I have devoted myself completely; in great aims and in small I have always thoroughly been in earnest.",Charles Dickens,Great
I've got a great ambition to die of exhaustion rather than boredom.,Thomas Carlyle,Great
"To have great poets, there must be great audiences.",Walt Whitman,Great
There is no such thing as a great talent without great will power.,Honore de Balzac,Great
The greatest wealth is to live content with little.,Plato,Great
"Whatever you want to do, if you want to be great at it, you have to love it and be able to make sacrifices for it.",Maya Angelou,Great
"Because of a great love, one is courageous.",Lao Tzu,Great
To be great is to be misunderstood.,Ralph Waldo Emerson,Great
Laws control the lesser man... Right conduct controls the greater one.,Mark Twain,Great
"The greatest accomplishment is not in never falling, but in rising again after you fall.",Vince Lombardi,Great
Great things are won by great dangers.,Herodotus,Great
Life should be great rather than long.,B. R. Ambedkar,Great
"A retentive memory may be a good thing, but the ability to forget is the true token of greatness.",Elbert Hubbard,Great
It is the nature of all greatness not to be exact.,Edmund Burke,Great
He who would accomplish little must sacrifice little; he who would achieve much must sacrifice much; he who would attain highly must sacrifice greatly.,James Allen,Great
There is no personal charm so great as the charm of a cheerful temperament.,Henry Van Dyke,Great
"And what he greatly thought, he nobly dared.",Homer,Great
"Seek not greatness, but seek truth and you will find both.",Horace Mann,Great
To do a great right do a little wrong.,William Shakespeare,Great
I believe the first test of a truly great man is in his humility.,John Ruskin,Great
Most great people have attained their greatest success just one step beyond their greatest failure.,Napoleon Hill,Great
"As a child of God, I am greater than anything that can happen to me.",A. P. J. Abdul Kalam,Great
Great men are seldom over-scrupulous in the arrangement of their attire.,Charles Dickens,Great
"The world's great men have not commonly been great scholars, nor its great scholars great men.","Oliver Wendell Holmes, Sr.",Great
Life in abundance comes only through great love.,Elbert Hubbard,Great
"A mistake made by many people with great convictions is that they will let nothing stand in the way of their views, not even kindness.",Bryant H. McGill,Great
"And the American people are the greatest people in the world. What makes America the greatest nation in the world is the heart of the American people: hardworking, innovative, risk-taking, God- loving, family-oriented American people.",Mitt Romney,Great
