quotes,authors,categories
The secret of happiness is something to do.,John Burroughs,Happiness
"The happiness of your life depends upon the quality of your thoughts: therefore, guard accordingly, and take care that you entertain no notions unsuitable to virtue and reasonable nature.",Marcus Aurelius,Happiness
Some cause happiness wherever they go; others whenever they go.,Oscar Wilde,Happiness
I am determined to be cheerful and happy in whatever situation I may find myself. For I have learned that the greater part of our misery or unhappiness is determined not by our circumstance but by our disposition.,Martha Washington,Happiness
Most folks are as happy as they make up their minds to be.,Abraham Lincoln,Happiness
Be happy for this moment. This moment is your life.,Omar Khayyam,Happiness
"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi,Happiness
Happiness is not something ready made. It comes from your own actions.,Dalai Lama,Happiness
Happiness depends upon ourselves.,Aristotle,Happiness
"There is only one happiness in this life, to love and be loved.",George Sand,Happiness
"Everything has its wonders, even darkness and silence, and I learn, whatever state I may be in, therein to be content.",Helen Keller,Happiness
"If you want to be happy, be.",Leo Tolstoy,Happiness
"I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it.",Groucho Marx,Happiness
"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude.",Denis Waitley,Happiness
"It is not how much we have, but how much we enjoy, that makes happiness.",Charles Spurgeon,Happiness
There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.,Epictetus,Happiness
Happiness can exist only in acceptance.,George Orwell,Happiness
"Happiness is not a matter of intensity but of balance, order, rhythm and harmony.",Thomas Merton,Happiness
"A table, a chair, a bowl of fruit and a violin; what else does a man need to be happy?",Albert Einstein,Happiness
The best way to pay for a lovely moment is to enjoy it.,Richard Bach,Happiness
Now and then it's good to pause in our pursuit of happiness and just be happy.,Guillaume Apollinaire,Happiness
"Money can't buy happiness, but it can make you awfully comfortable while you're being miserable.",Clare Boothe Luce,Happiness
Joy is prayer; joy is strength: joy is love; joy is a net of love by which you can catch souls.,Mother Teresa,Happiness
Happiness is the only good. The time to be happy is now. The place to be happy is here. The way to be happy is to make others so.,Robert Green Ingersoll,Happiness
"True happiness is... to enjoy the present, without anxious dependence upon the future.",Lucius Annaeus Seneca,Happiness
"The moments of happiness we enjoy take us by surprise. It is not that we seize them, but that they seize us.",Ashley Montagu,Happiness
Don't wait around for other people to be happy for you. Any happiness you get you've got to make yourself.,Alice Walker,Happiness
Happiness isn't something you experience; it's something you remember.,Oscar Levant,Happiness
The most worth-while thing is to try to put happiness into the lives of others.,Robert Baden-Powell,Happiness
Happiness is an inside job.,William Arthur Ward,Happiness
Action may not always bring happiness; but there is no happiness without action.,Benjamin Disraeli,Happiness
"Happiness is a direction, not a place.",Sydney J. Harris,Happiness
Happiness often sneaks in through a door you didn't know you left open.,John Barrymore,Happiness
Happiness is dependent on self-discipline. We are the biggest obstacles to our own happiness. It is much easier to do battle with society and with others than to fight our own nature.,Dennis Prager,Happiness
"To be stupid, selfish, and have good health are three requirements for happiness, though if stupidity is lacking, all is lost.",Gustave Flaubert,Happiness
"True happiness comes from the joy of deeds well done, the zest of creating things new.",Antoine de Saint-Exupery,Happiness
"Achievement of your happiness is the only moral purpose of your life, and that happiness, not pain or mindless self-indulgence, is the proof of your moral integrity, since it is the proof and the result of your loyalty to the achievement of your values.",Ayn Rand,Happiness
Happiness makes up in height for what it lacks in length.,Robert Frost,Happiness
"Money can't buy you happiness, but it can buy you a yacht big enough to pull up right alongside it.",David Lee Roth,Happiness
Happiness is the absence of the striving for happiness.,Zhuangzi,Happiness
The art of being happy lies in the power of extracting happiness from common things.,Henry Ward Beecher,Happiness
"You know it's love when all you want is that person to be happy, even if you're not part of their happiness.",Julia Roberts,Happiness
All who joy would win must share it. Happiness was born a Twin.,Lord Byron,Happiness
The happiest people seem to be those who have no particular cause for being happy except that they are so.,William Inge,Happiness
Happiness in intelligent people is the rarest thing I know.,Ernest Hemingway,Happiness
"Be happy with what you have and are, be generous with both, and you won't have to hunt for happiness.",William E. Gladstone,Happiness
Happiness is like those palaces in fairy tales whose gates are guarded by dragons: we must fight in order to conquer it.,Alexandre Dumas,Happiness
The secret of happiness is to admire without desiring.,Carl Sandburg,Happiness
I am a kind of paranoid in reverse. I suspect people of plotting to make me happy.,J. D. Salinger,Happiness
"Happiness is a virtue, not its reward.",Baruch Spinoza,Happiness
"Try to make at least one person happy every day. If you cannot do a kind deed, speak a kind word. If you cannot speak a kind word, think a kind thought. Count up, if you can, the treasure of happiness that you would dispense in a week, in a year, in a lifetime!",Lawrence G. Lovasik,Happiness
"Everyone chases after happiness, not noticing that happiness is right at their heels.",Bertolt Brecht,Happiness
Happiness is like a kiss. You must share it to enjoy it.,Bernard Meltzer,Happiness
Happiness is good health and a bad memory.,Ingrid Bergman,Happiness
Nothing brings me more happiness than trying to help the most vulnerable people in society. It is a goal and an essential part of my life - a kind of destiny. Whoever is in distress can call on me. I will come running wherever they are.,Princess Diana,Happiness
Happiness is hard to recall. Its just a glow.,Frank McCourt,Happiness
Happiness never lays its finger on its pulse.,Adam Smith,Happiness
Happiness is the harvest of a quiet eye.,Austin O'Malley,Happiness
A hug is like a boomerang - you get it back right away.,Bil Keane,Happiness
"In times of joy, all of us wished we possessed a tail we could wag.",W. H. Auden,Happiness
"True happiness consists not in the multitude of friends, but in the worth and choice.",Ben Jonson,Happiness
There are people who can do all fine and heroic things but one - keep from telling their happiness to the unhappy.,Mark Twain,Happiness
"Happiness is found in doing, not merely possessing.",Napoleon Hill,Happiness
Satisfaction of one's curiosity is one of the greatest sources of happiness in life.,Linus Pauling,Happiness
"Love is the most terrible, and also the most generous of the passions; it is the only one which includes in its dreams the happiness of someone else.",Alphonse Karr,Happiness
"Happiness is inward, and not outward; and so, it does not depend on what we have, but on what we are.",Henry Van Dyke,Happiness
"Happiness exists on earth, and it is won through prudent exercise of reason, knowledge of the harmony of the universe, and constant practice of generosity.",Jose Marti,Happiness
