quotes,authors,categories
It is no measure of health to be well adjusted to a profoundly sick society.,Jiddu Krishnamurti,Health
"When wealth is lost, nothing is lost; when health is lost, something is lost; when character is lost, all is lost.",Billy Graham,Health
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,Buddha,Health
"Early to bed and early to rise makes a man healthy, wealthy and wise.",Benjamin Franklin,Health
It is health that is real wealth and not pieces of gold and silver.,Mahatma Gandhi,Health
"He who has health, has hope; and he who has hope, has everything.",Thomas Carlyle,Health
Health is not valued till sickness comes.,Thomas Fuller,Health
You're in pretty good shape for the shape you are in.,Dr. Seuss,Health
The first wealth is health.,Ralph Waldo Emerson,Health
The healthy man does not torture others - generally it is the tortured who turn into torturers.,Carl Jung,Health
"Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul.",John Muir,Health
"Healing is a matter of time, but it is sometimes also a matter of opportunity.",Hippocrates,Health
"Rest when you're weary. Refresh and renew yourself, your body, your mind, your spirit. Then get back to work.",Ralph Marston,Health
Sleep is that golden chain that ties health and our bodies together.,Thomas Dekker,Health
I believe that the greatest gift you can give your family and the world is a healthy you.,Joyce Meyer,Health
Your body hears everything your mind says.,Naomi Judd,Health
"True silence is the rest of the mind, and is to the spirit what sleep is to the body, nourishment and refreshment.",William Penn,Health
"I know a man who gave up smoking, drinking, sex, and rich food. He was healthy right up to the day he killed himself.",Johnny Carson,Health
"Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management, which is perhaps the most important ingredient to living a happy, healthy and rewarding life.",Marilu Henner,Health
The wish for healing has always been half of health.,Lucius Annaeus Seneca,Health
Attention to health is life's greatest hindrance.,Plato,Health
"The art of healing comes from nature, not from the physician. Therefore the physician must start from nature, with an open mind.",Paracelsus,Health
"America's health care system is neither healthy, caring, nor a system.",Walter Cronkite,Health
The greatest of follies is to sacrifice health for any other kind of happiness.,Arthur Schopenhauer,Health
"You know, all that really matters is that the people you love are happy and healthy. Everything else is just sprinkles on the sundae.",Paul Walker,Health
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,Tom Stoppard,Health
A person whose mind is quiet and satisfied in God is in the pathway to health.,Ellen G. White,Health
"I think the healthy way to live is to make friends with the beast inside oneself, and that means not the beast but the shadow. The dark side of one's nature. Have fun with it and you know, is to accept everything about ourselves.",Anthony Hopkins,Health
I made a commitment to completely cut out drinking and anything that might hamper me from getting my mind and body together. And the floodgates of goodness have opened upon me - spiritually and financially.,Denzel Washington,Health
There's nothing more important than our good health - that's our principal capital asset.,Arlen Specter,Health
"Good health is not something we can buy. However, it can be an extremely valuable savings account.",Anne Wilson Schaef,Health
Knowing that we can be loved exactly as we are gives us all the best opportunity for growing into the healthiest of people.,Fred Rogers,Health
"The way you think, the way you behave, the way you eat, can influence your life by 30 to 50 years.",Deepak Chopra,Health
A healthy outside starts from the inside.,Robert Urich,Health
"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Foxx,Health
"My body is like breakfast, lunch, and dinner. I don't think about it, I just have it.",Arnold Schwarzenegger,Health
It takes more than just a good looking body. You've got to have the heart and soul to go with it.,Epictetus,Health
I do not think about being beautiful. What I devote most of my time to is being healthy.,Ann Bancroft,Health
"It is amazing that people who think we cannot afford to pay for doctors, hospitals, and medication somehow think that we can afford to pay for doctors, hospitals, medication and a government bureaucracy to administer it.",Thomas Sowell,Health
Treasure the love you receive above all. It will survive long after your good health has vanished.,Og Mandino,Health
It's better to be healthy alone than sick with someone else.,Phil McGraw,Health
The groundwork of all happiness is health.,Leigh Hunt,Health
I have the body of an eighteen year old. I keep it in the fridge.,Spike Milligan,Health
Cheerfulness is the best promoter of health and is as friendly to the mind as to the body.,Joseph Addison,Health
"Water, air, and cleanness are the chief articles in my pharmacy.",Napoleon Bonaparte,Health
"Pay mind to your own life, your own health, and wholeness. A bleeding heart is of no help to anyone if it bleeds to death.",Frederick Buechner,Health
"Give a man health and a course to steer, and he'll never stop to trouble about whether he's happy or not.",George Bernard Shaw,Health
"Health is not a condition of matter, but of Mind.",Mary Baker Eddy,Health
"As long as your body is healthy and under control and death is distant, try to save your soul; when death is immanent what can you do?",Chanakya,Health
It's no longer a question of staying healthy. It's a question of finding a sickness you like.,Jackie Mason,Health
America's health care system is in crisis precisely because we systematically neglect wellness and prevention.,Tom Harkin,Health
Happiness lies first of all in health.,George William Curtis,Health
"I sit on my duff, smoke cigarettes and watch TV. I'm not exactly a poster girl for healthy living.",Lexa Doig,Health
"My personal goals are to be happy, healthy and to be surrounded by loved ones.",Kiana Tom,Health
"If you're happy, if you're feeling good, then nothing else matters.",Robin Wright,Health
I find it a lot healthier for me to be someplace where I can go outside in my bare feet.,James Taylor,Health
Hearty laughter is a good way to jog internally without having to go outdoors.,Norman Cousins,Health
"People who don't know how to keep themselves healthy ought to have the decency to get themselves buried, and not waste time about it.",Henrik Ibsen,Health
"When you are young and healthy, it never occurs to you that in a single second your whole life could change.",Annette Funicello,Health
Health consists with temperance alone.,Alexander Pope,Health
The body is a sacred garment.,Martha Graham,Health
"Happiness, contentment, the health and growth of the soul, depend, as men have proved over and over again, upon some simple issue, some single turning of the soul.",George A. Smith,Health
"A man is not rightly conditioned until he is a happy, healthy, and prosperous being; and happiness, health, and prosperity are the result of a harmonious adjustment of the inner with the outer of the man with his surroundings.",James Allen,Health
"I feel pretty good. My body actually looks like an old banana, but it's fine.",Mike Piazza,Health
"Some people are naturally thin, and some are heavier. There is a lot of focus on it, and it can be a lot of pressure for people. But honestly, I think as long as someone is healthy, that is most important.",Jennifer Lopez,Health
I became a fanatic about healthy food in 1944.,Gloria Swanson,Health
"The medical literature tells us that the most effective ways to reduce the risk of heart disease, cancer, stroke, diabetes, Alzheimer's, and many more problems are through healthy diet and exercise. Our bodies have evolved to move, yet we now use the energy in oil instead of muscles to do our work.",David Suzuki,Health
"A healthy human environment is one in which we try to make sense of our limits, of the accidents that can always befall us and the passage of time which inexorably changes us.",Rowan Williams,Health
"The ingredients of health and long life, are great temperance, open air, easy labor, and little care.",Philip Sidney,Health
