quotes,authors,categories
"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.",Albert Einstein,Hope
"We must accept finite disappointment, but never lose infinite hope.","Martin Luther King, Jr.",Hope
Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.,Epicurus,Hope
Hope in reality is the worst of all evils because it prolongs the torments of man.,Friedrich Nietzsche,Hope
Hope is being able to see that there is light despite all of the darkness.,Desmond Tutu,Hope
Never deprive someone of hope; it might be all they have.,"H. Jackson Brown, Jr.",Hope
"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.",Elbert Hubbard,Hope
You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,Michelle Obama,Hope
"Hope is not the conviction that something will turn out well but the certainty that something makes sense, regardless of how it turns out.",Vaclav Havel,Hope
"I find hope in the darkest of days, and focus in the brightest. I do not judge the universe.",Dalai Lama,Hope
"Hope springs eternal in the human breast: Man never is, but always to be blest.",Alexander Pope,Hope
"I am prepared for the worst, but hope for the best.",Benjamin Disraeli,Hope
To live without Hope is to Cease to live.,Fyodor Dostoevsky,Hope
Hope is a waking dream.,Aristotle,Hope
Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all.,Emily Dickinson,Hope
"Let your hopes, not your hurts, shape your future.",Robert H. Schuller,Hope
We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,Aristotle Onassis,Hope
"All kids need is a little help, a little hope and somebody who believes in them.",Magic Johnson,Hope
"God's mercy and grace give me hope - for myself, and for our world.",Billy Graham,Hope
"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us.",Samuel Smiles,Hope
"We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.",Franklin D. Roosevelt,Hope
"I simply can't build my hopes on a foundation of confusion, misery and death... I think... peace and tranquillity will return again.",Anne Frank,Hope
"There is no medicine like hope, no incentive so great, and no tonic so powerful as expectation of something better tomorrow.",Orison Swett Marden,Hope
All human wisdom is summed up in two words; wait and hope.,Alexandre Dumas,Hope
Everything that is done in the world is done by hope.,Martin Luther,Hope
"Hope is important because it can make the present moment less difficult to bear. If we believe that tomorrow will be better, we can bear a hardship today.",Thich Nhat Hanh,Hope
"Hope lies in dreams, in imagination, and in the courage of those who dare to make dreams into reality.",Jonas Salk,Hope
"Three grand essentials to happiness in this life are something to do, something to love, and something to hope for.",Joseph Addison,Hope
"The work goes on, the cause endures, the hope still lives and the dreams shall never die.",Edward Kennedy,Hope
Hope is the pillar that holds up the world. Hope is the dream of a waking man.,Pliny the Elder,Hope
"What gives me the most hope every day is God's grace; knowing that his grace is going to give me the strength for whatever I face, knowing that nothing is a surprise to God.",Rick Warren,Hope
"The human heart has hidden treasures, In secret kept, in silence sealed; The thoughts, the hopes, the dreams, the pleasures, Whose charms were broken if revealed.",Charlotte Bronte,Hope
"Be careful to leave your sons well instructed rather than rich, for the hopes of the instructed are better than the wealth of the ignorant.",Epictetus,Hope
Hope is patience with the lamp lit.,Tertullian,Hope
God grant me the courage not to give up what I think is right even though I think it is hopeless.,Chester W. Nimitz,Hope
"Hope is a good breakfast, but it is a bad supper.",Francis Bacon,Hope
"At the end of the day, we must go forward with hope and not backward by fear and division.",Jesse Jackson,Hope
"All hope abandon, ye who enter here!",Dante Alighieri,Hope
"Even if the hopes you started out with are dashed, hope has to be maintained.",Seamus Heaney,Hope
Anyone who doesn't believe in miracles is not a realist.,David Ben-Gurion,Hope
"Just as despair can come to one only from other human beings, hope, too, can be given to one only by other human beings.",Elie Wiesel,Hope
The sudden disappointment of a hope leaves a scar which the ultimate fulfillment of that hope never entirely removes.,Thomas Hardy,Hope
Hope is the last thing a person does before they are defeated.,Henry Rollins,Hope
Chance has never yet satisfied the hope of a suffering people.,Marcus Garvey,Hope
He that lives upon hope will die fasting.,Benjamin Franklin,Hope
A whole stack of memories never equal one little hope.,Charles M. Schulz,Hope
Tomorrow hopes we have learned something from yesterday.,John Wayne,Hope
Extreme hopes are born from extreme misery.,Bertrand Russell,Hope
It's a good place when all you have is hope and not expectations.,Danny Boyle,Hope
My hope still is to leave the world a bit better than when I got here.,Jim Henson,Hope
Lord save us all from old age and broken health and a hope tree that has lost the faculty of putting out blossoms.,Mark Twain,Hope
Uncertainty is the refuge of hope.,Henri Frederic Amiel,Hope
"I said to my soul, be still, and wait without hope, For hope would be hope for the wrong thing.",T. S. Eliot,Hope
"Be prepared, work hard, and hope for a little luck. Recognize that the harder you work and the better prepared you are, the more luck you might have.",Ed Bradley,Hope
"When we have lost everything, including hope, life becomes a disgrace, and death a duty.",W. C. Fields,Hope
"In the end, that's what this election is about. Do we participate in a politics of cynicism or a politics of hope?",Barack Obama,Hope
"If it were not for hopes, the heart would break.",Thomas Fuller,Hope
