quotes,authors,categories
Tell me and I forget. Teach me and I remember. Involve me and I learn.,Benjamin Franklin,Learning
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,Learning
"If we knew what it was we were doing, it would not be called research, would it?",Albert Einstein,Learning
Learning never exhausts the mind.,Leonardo da Vinci,Learning
A wise man can learn more from a foolish question than a fool can learn from a wise answer.,Bruce Lee,Learning
We must learn to live together as brothers or perish together as fools.,"Martin Luther King, Jr.",Learning
"I learned long ago, never to wrestle with a pig. You get dirty, and besides, the pig likes it.",George Bernard Shaw,Learning
"He who learns but does not think, is lost! He who thinks but does not learn is in great danger.",Confucius,Learning
Try to learn something about everything and everything about something.,Thomas Huxley,Learning
"There is no end to education. It is not that you read a book, pass an examination, and finish with education. The whole of life, from the moment you are born to the moment you die, is a process of learning.",Jiddu Krishnamurti,Learning
We learned about honesty and integrity - that the truth matters... that you don't take shortcuts or play by your own set of rules... and success doesn't count unless you earn it fair and square.,Michelle Obama,Learning
He who would learn to fly one day must first learn to stand and walk and run and climb and dance; one cannot fly into flying.,Friedrich Nietzsche,Learning
Research is formalized curiosity. It is poking and prying with a purpose.,Zora Neale Hurston,Learning
I am still learning.,Michelangelo,Learning
"God lets everything happen for a reason. It's all a learning process, and you have to go from one level to another.",Mike Tyson,Learning
I am always ready to learn although I do not always like being taught.,Winston Churchill,Learning
Your most unhappy customers are your greatest source of learning.,Bill Gates,Learning
In youth we learn; in age we understand.,Marie von Ebner-Eschenbach,Learning
It's what you learn after you know it all that counts.,John Wooden,Learning
A single conversation across the table with a wise man is better than ten years mere study of books.,Henry Wadsworth Longfellow,Learning
"I am always doing that which I cannot do, in order that I may learn how to do it.",Pablo Picasso,Learning
Research is creating new knowledge.,Neil Armstrong,Learning
They may forget what you said - but they will never forget how you made them feel.,Carl W. Buehner,Learning
I've learned that you shouldn't go through life with a catcher's mitt on both hands; you need to be able to throw something back.,Maya Angelou,Learning
In times of change learners inherit the earth; while the learned find themselves beautifully equipped to deal with a world that no longer exists.,Eric Hoffer,Learning
"You don't learn to walk by following rules. You learn by doing, and by falling over.",Richard Branson,Learning
Question everything. Learn something. Answer nothing.,Euripides,Learning
I have never met a man so ignorant that I couldn't learn something from him.,Galileo Galilei,Learning
Your mind will answer most questions if you learn to relax and wait for the answer.,William S. Burroughs,Learning
"Study nature, love nature, stay close to nature. It will never fail you.",Frank Lloyd Wright,Learning
I like to listen. I have learned a great deal from listening carefully. Most people never listen.,Ernest Hemingway,Learning
To make no mistakes is not in the power of man; but from their errors and mistakes the wise and good learn wisdom for the future.,Plutarch,Learning
"Without pain, there would be no suffering, without suffering we would never learn from our mistakes. To make it right, pain and suffering is the key to all windows, without it, there is no way of life.",Angelina Jolie,Learning
We now accept the fact that learning is a lifelong process of keeping abreast of change. And the most pressing task is to teach people how to learn.,Peter Drucker,Learning
"A man only learns in two ways, one by reading, and the other by association with smarter people.",Will Rogers,Learning
I never learn anything talking. I only learn things when I ask questions.,Lou Holtz,Learning
I learned the value of hard work by working hard.,Margaret Mead,Learning
You teach best what you most need to learn.,Richard Bach,Learning
I never learned from a man who agreed with me.,Robert A. Heinlein,Learning
Study strategy over the years and achieve the spirit of the warrior. Today is victory over yourself of yesterday; tomorrow is your victory over lesser men.,Miyamoto Musashi,Learning
"A little learning is a dangerous thing; Drink deep, or taste not the Pierian spring.",Alexander Pope,Learning
One of the things I learned the hard way was that it doesn't pay to get discouraged. Keeping busy and making optimism a way of life can restore your faith in yourself.,Lucille Ball,Learning
"The first problem for all of us, men and women, is not to learn, but to unlearn.",Gloria Steinem,Learning
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",Earl Nightingale,Learning
Flying is learning how to throw yourself at the ground and miss.,Douglas Adams,Learning
"I am a woman in process. I'm just trying like everybody else. I try to take every conflict, every experience, and learn from it. Life is never dull.",Oprah Winfrey,Learning
"Learn to get in touch with the silence within yourself, and know that everything in life has purpose. There are no mistakes, no coincidences, all events are blessings given to us to learn from.",Elisabeth Kubler-Ross,Learning
I'd rather learn from one bird how to sing than teach ten thousand stars how not to dance.,e. e. cummings,Learning
It is what we know already that often prevents us from learning.,Claude Bernard,Learning
"It is not knowledge, but the act of learning, not possession but the act of getting there, which grants the greatest enjoyment.",Carl Friedrich Gauss,Learning
Every immigrant who comes here should be required within five years to learn English or leave the country.,Theodore Roosevelt,Learning
He who is not everyday conquering some fear has not learned the secret of life.,Ralph Waldo Emerson,Learning
I don't love studying. I hate studying. I like learning. Learning is beautiful.,Natalie Portman,Learning
