quotes,authors,categories
Ethics is knowing the difference between what you have a right to do and what is right to do.,Potter Stewart,Legal
"If you must break the law, do it to seize power: in all other cases observe it.",Julius Caesar,Legal
It is not wisdom but Authority that makes a law.,Thomas Hobbes,Legal
"I busted a mirror and got seven years bad luck, but my lawyer thinks he can get me five.",Steven Wright,Legal
Justice delayed is justice denied.,William E. Gladstone,Legal
Make crime pay. Become a lawyer.,Will Rogers,Legal
Punishment is justice for the unjust.,Saint Augustine,Legal
It is better to risk saving a guilty man than to condemn an innocent one.,Voltaire,Legal
"Laws are like sausages, it is better not to see them being made.",Otto von Bismarck,Legal
The best way to get a bad law repealed is to enforce it strictly.,Abraham Lincoln,Legal
"More law, less justice.",Marcus Tullius Cicero,Legal
"Laws are like cobwebs, which may catch small flies, but let wasps and hornets break through.",Jonathan Swift,Legal
Only one thing is impossible for God: To find any sense in any copyright law on the planet.,Mark Twain,Legal
Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens.,Plato,Legal
"If we desire respect for the law, we must first make the law respectable.",Louis D. Brandeis,Legal
Collecting more taxes than is absolutely necessary is legalized robbery.,Calvin Coolidge,Legal
Laws are spider webs through which the big flies pass and the little ones get caught.,Honore de Balzac,Legal
"If the machine of government is of such a nature that it requires you to be the agent of injustice to another, then, I say, break the law.",Henry David Thoreau,Legal
"It is not what a lawyer tells me I may do; but what humanity, reason, and justice tell me I ought to do.",Edmund Burke,Legal
A lean compromise is better than a fat lawsuit.,George Herbert,Legal
It is legal because I wish it.,Louis XIV,Legal
He is no lawyer who cannot take two sides.,Charles Lamb,Legal
Laws made by common consent must not be trampled on by individuals.,George Washington,Legal
Advertising is legalized lying.,H. G. Wells,Legal
Obedience to lawful authority is the foundation of manly character.,Robert E. Lee,Legal
Justice is the sum of all moral duty.,William Godwin,Legal
Lawyers are the only persons in whom ignorance of the law is not punished.,Jeremy Bentham,Legal
In the Halls of Justice the only justice is in the halls.,Lenny Bruce,Legal
One of the things I was taught in law school is that I'd never be able to think the same again - that being a lawyer is something that's part of who I am as an individual now.,Anita Hill,Legal
A jury is composed of twelve men of average ignorance.,Herbert Spencer,Legal
Compromise is the best and cheapest lawyer.,Robert Louis Stevenson,Legal
The events of the day inspired me to become a lawyer.,Christopher Darden,Legal
"Justice? You get justice in the next world, in this world you have the law.",William Gaddis,Legal
I'm trusting in the Lord and a good lawyer.,Oliver North,Legal
People do not win people fights. Lawyers do.,Norman Ralph Augustine,Legal
Common sense often makes good law.,William O. Douglas,Legal
The trouble with law is lawyers.,Clarence Darrow,Legal
Make your educational laws strict and your criminal ones can be gentle; but if you leave youth its liberty you will have to dig dungeons for ages.,Michel de Montaigne,Legal
Lawsuit: A machine which you go into as a pig and come out of as a sausage.,Ambrose Bierce,Legal
I have been committed to carrying out my duties... in accordance with both the letter and spirit of all applicable rules of ethics and canons of conduct.,Samuel Alito,Legal
You can't learn everything you need to know legally.,John Irving,Legal
Lawyers spend a great deal of their time shoveling smoke.,"Oliver Wendell Holmes, Jr.",Legal
Law is born from despair of human nature.,Jose Ortega y Gasset,Legal
"Judges are the weakest link in our system of justice, and they are also the most protected.",Alan Dershowitz,Legal
A successful lawsuit is the one worn by a policeman.,Robert Frost,Legal
"In law, nothing is certain but the expense.",Samuel Butler,Legal
A good lawyer is a bad Christian.,John Lothrop Motley,Legal
A lawyer who does not know men is handicapped.,William Dunbar,Legal
Taste cannot be controlled by law.,Thomas Jefferson,Legal
All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,Joseph Conrad,Legal
That which is not just is not law.,William Lloyd Garrison,Legal
Where there is a will there is a lawsuit.,Addison Mizner,Legal
It is impossible to tell where the law stops and justice begins.,Arthur Baer,Legal
"From your confessor, lawyer and physician, hide not your case on no condition.",John Harington,Legal
"Avoid lawsuits beyond all things; they pervert your conscience, impair your health, and dissipate your property.",Jean de la Bruyere,Legal
"If Moses had gone to Harvard Law School and spent three years working on the Hill, he would have written the Ten Commandments with three exceptions and a saving clause.",Charles Morgan,Legal
Nothing is so unproductive as the law. It is expensive whether you win or lose.,Gilbert Parker,Legal
I decided I wanted to be a lawyer when I was 11 years of age.,Johnnie Cochran,Legal
Misery is the company of lawsuits.,Francois Rabelais,Legal
"To some lawyers, all facts are created equal.",Felix Frankfurter,Legal
"I say the law should be blind to race, gender and sexual orientation, just as it claims to be blind to wealth and power. There should be no specially protected groups of any kind, except for children, the severely disabled and the elderly, whose physical frailty demands society's care.",Camille Paglia,Legal
A married woman has the same right to control her own body as does an unmarried woman.,Sol Wachtler,Legal
"It costs a lot to sue a magazine, and it's too bad that we don't have a system where the losing team has to pay the winning team's lawyers.",Carol Burnett,Legal
"People crushed by laws, have no hope but to evade power. If the laws are their enemies, they will be enemies to the law; and those who have most to hope and nothing to lose will always be dangerous.",Edmund Burke,Legal
"As for lawyers, it's more fun to play one than to be one.",Sam Waterston,Legal
"I used to want to be a lawyer, but I didn't want to have half my brain sucked out.",Max Walker,Legal
I am the inferior of any man whose rights I trample under foot.,Robert Green Ingersoll,Legal
I have a different approach. I don't file lawsuits because I really don't care.,Nicole Kidman,Legal
I wouldn't pretend to tell you we don't pay our lawyers well.,Jay Alan Sekulow,Legal
"I would say that IQ is the strongest predictor of which field you can get into and hold a job in, whether you can be an accountant, lawyer or nurse, for example.",Daniel Goleman,Legal
As a rule lawyers tend to want to do whatever they can to win.,Bill Williams,Legal
The safety of the people shall be the highest law.,Marcus Tullius Cicero,Legal
"Unfortunately, what many people forget is that judges are just lawyers in robes.",Tammy Bruce,Legal
"There is but one law for all, namely that law which governs all law, the law of our Creator, the law of humanity, justice, equity - the law of nature and of nations.",Edmund Burke,Legal
Fairness is what justice really is.,Potter Stewart,Legal
"Lawsuit abuse is a major contributor to the increased costs of healthcare, goods and services to consumers.",Charles W. Pickering,Legal
The good lawyer is the great salesman.,Janet Reno,Legal
Lawsuits should not be used to destroy a viable and independent distribution system. The solution lies in the marketplace and not the courtroom.,Don Henley,Legal
"I submit that an individual who breaks a law that conscience tells him is unjust, and who willingly accepts the penalty of imprisonment in order to arouse the conscience of the community over its injustice, is in reality expressing the highest respect for law.","Martin Luther King, Jr.",Legal
"Deceive not thy physician, confessor, nor lawyer.",George Herbert,Legal
Charity is no substitute for justice withheld.,Saint Augustine,Legal
