quotes,authors,categories
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,Love
"We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.",Orson Welles,Love
Love takes off masks that we fear we cannot live without and know we cannot live within.,James Baldwin,Love
'Tis better to have loved and lost than never to have loved at all.,Alfred Lord Tennyson,Love
You can't blame gravity for falling in love.,Albert Einstein,Love
Love is composed of a single soul inhabiting two bodies.,Aristotle,Love
"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.",Ann Landers,Love
"Time is too slow for those who wait, too swift for those who fear, too long for those who grieve, too short for those who rejoice, but for those who love, time is eternity.",Henry Van Dyke,Love
"True love is like ghosts, which everyone talks about and few have seen.",Francois de La Rochefoucauld,Love
"Let us always meet each other with smile, for the smile is the beginning of love.",Mother Teresa,Love
"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserve your love and affection.",Buddha,Love
"Love and compassion are necessities, not luxuries. Without them humanity cannot survive.",Dalai Lama,Love
What we have once enjoyed we can never lose. All that we love deeply becomes a part of us.,Helen Keller,Love
Where there is love there is life.,Mahatma Gandhi,Love
"He who loves with purity considers not the gift of the lover, but the love of the giver.",Thomas a Kempis,Love
"To love for the sake of being loved is human, but to love for the sake of loving is angelic.",Alphonse de Lamartine,Love
Love is a friendship set to music.,Joseph Campbell,Love
Passion is momentary; love is enduring.,John Wooden,Love
"True love is eternal, infinite, and always like itself. It is equal and pure, without violent demonstrations: it is seen with white hairs and is always young in the heart.",Honore de Balzac,Love
"The world is not comprehensible, but it is embraceable: through the embracing of one of its beings.",Martin Buber,Love
Any time not spent on love is wasted.,Torquato Tasso,Love
Love is the power to see similarity in the dissimilar.,Theodor W. Adorno,Love
The richest love is that which submits to the arbitration of time.,Lawrence Durrell,Love
One is loved because one is loved. No reason is needed for loving.,Paulo Coelho,Love
I feel that there is nothing more truly artistic than to love people.,Vincent Van Gogh,Love
To love and be loved is to feel the sun from both sides.,David Viscott,Love
The love we give away is the only love we keep.,Elbert Hubbard,Love
Love yourself first and everything else falls into line. You really have to love yourself to get anything done in this world.,Lucille Ball,Love
Life is the flower for which love is the honey.,Victor Hugo,Love
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,Love
The best thing to hold onto in life is each other.,Audrey Hepburn,Love
Love doesn't make the world go 'round. Love is what makes the ride worthwhile.,Franklin P. Jones,Love
"Love does not consist in gazing at each other, but in looking outward together in the same direction.",Antoine de Saint-Exupery,Love
Do you have to have a reason for loving?,Brigitte Bardot,Love
Love isn't something you find. Love is something that finds you.,Loretta Young,Love
"We waste time looking for the perfect lover, instead of creating the perfect love.",Tom Robbins,Love
Immature love says: 'I love you because I need you.' Mature love says 'I need you because I love you.',Erich Fromm,Love
"Once the realization is accepted that even between the closest human beings infinite distances continue, a wonderful living side by side can grow, if they succeed in loving the distance between them which makes it possible for each to see the other whole against the sky.",Rainer Maria Rilke,Love
Love is supreme and unconditional; like is nice but limited.,Duke Ellington,Love
We need 4 hugs a day for survival. We need 8 hugs a day for maintenance. We need 12 hugs a day for growth.,Virginia Satir,Love
Only do what your heart tells you.,Princess Diana,Love
"Love has no age, no limit; and no death.",John Galsworthy,Love
Faith makes all things possible... love makes all things easy.,Dwight L. Moody,Love
We loved with a love that was more than love.,Edgar Allan Poe,Love
Love is an irresistible desire to be irresistibly desired.,Robert Frost,Love
"Love is that condition in which the happiness of another person is essential to your own... Jealousy is a disease, love is a healthy condition. The immature mind often mistakes one for the other, or assumes that the greater the love, the greater the jealousy.",Robert A. Heinlein,Love
Love cures people - both the ones who give it and the ones who receive it.,Karl A. Menninger,Love
We love because it's the only true adventure.,Nikki Giovanni,Love
"Someday, after mastering the winds, the waves, the tides and gravity, we shall harness for God the energies of love, and then, for a second time in the history of the world, man will have discovered fire.",Pierre Teilhard de Chardin,Love
Love is a canvas furnished by nature and embroidered by imagination.,Voltaire,Love
"Friends can help each other. A true friend is someone who lets you have total freedom to be yourself - and especially to feel. Or, not feel. Whatever you happen to be feeling at the moment is fine with them. That's what real love amounts to - letting a person be what he really is.",Jim Morrison,Love
Love is like war: easy to begin but very hard to stop.,H. L. Mencken,Love
Love is the only reality and it is not a mere sentiment. It is the ultimate truth that lies at the heart of creation.,Rabindranath Tagore,Love
A loving heart is the truest wisdom.,Charles Dickens,Love
"A flower cannot blossom without sunshine, and man cannot live without love.",Max Muller,Love
"Love is always bestowed as a gift - freely, willingly and without expectation. We don't love to be loved; we love to love.",Leo Buscaglia,Love
We can only learn to love by loving.,Iris Murdoch,Love
The most powerful weapon on earth is the human soul on fire.,Ferdinand Foch,Love
Love takes up where knowledge leaves off.,Thomas Aquinas,Love
If you do not love me I shall not be loved If I do not love you I shall not love.,Samuel Beckett,Love
"Don't threaten me with love, baby. Let's just go walking in the rain.",Billie Holiday,Love
"Love is an act of endless forgiveness, a tender look which becomes a habit.",Peter Ustinov,Love
Fortune and love favor the brave.,Ovid,Love
Do you have to have a reason for loving?,Brigitte Bardot,Love
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum,Love
We love because it's the only true adventure.,Nikki Giovanni,Love
Love is space and time measured by the heart.,Marcel Proust,Love
A kiss is a lovely trick designed by nature to stop speech when words become superfluous.,Ingrid Bergman,Love
Love is being stupid together.,Paul Valery,Love
People who throw kisses are hopelessly lazy.,Bob Hope,Love
"Love is the crowning grace of humanity, the holiest right of the soul, the golden link which binds us to duty and truth, the redeeming principle that chiefly reconciles the heart to life, and is prophetic of eternal good.",Petrarch,Love
"Whatever our souls are made of, his and mine are the same.",Emily Bronte,Love
Love is the wisdom of the fool and the folly of the wise.,Samuel Johnson,Love
"You can give without loving, but you can never love without giving.",Robert Louis Stevenson,Love
Be of love a little more careful than of anything.,e. e. cummings,Love
Love is the greatest refreshment in life.,Pablo Picasso,Love
Love can sometimes be magic. But magic can sometimes... just be an illusion.,Javan,Love
"In our life there is a single color, as on an artist's palette, which provides the meaning of life and art. It is the color of love.",Marc Chagall,Love
People protect what they love.,Jacques Yves Cousteau,Love
"Absence sharpens love, presence strengthens it.",Thomas Fuller,Love
Love has reasons which reason cannot understand.,Blaise Pascal,Love
Love makes your soul crawl out from its hiding place.,Zora Neale Hurston,Love
Love is metaphysical gravity.,R. Buckminster Fuller,Love
Affection is responsible for nine-tenths of whatever solid and durable happiness there is in our lives.,C. S. Lewis,Love
Love in its essence is spiritual fire.,Lucius Annaeus Seneca,Love
"Love is like an hourglass, with the heart filling up as the brain empties.",Jules Renard,Love
"Life is like an onion. You peel it off one layer at a time, and sometimes you weep.",Carl Sandburg,Love
Love knows not distance; it hath no continent; its eyes are for the stars.,Gilbert Parker,Love
Friendship often ends in love; but love in friendship - never.,Charles Caleb Colton,Love
Love is the attempt to form a friendship inspired by beauty.,Marcus Tullius Cicero,Love
A man is already halfway in love with any woman who listens to him.,Brendan Behan,Love
Love is a game that two can play and both win.,Eva Gabor,Love
The giving of love is an education in itself.,Eleanor Roosevelt,Love
"With our love, we could save the world.",George Harrison,Love
The art of love is largely the art of persistence.,Albert Ellis,Love
A part of kindness consists in loving people more than they deserve.,Joseph Joubert,Love
"Though lovers be lost, love shall not.",Dylan Thomas,Love
The way to love anything is to realize that it may be lost.,Gilbert K. Chesterton,Love
"Choose your love, Love your choice.",Thomas S. Monson,Love
"There's no bad consequence to loving fully, with all your heart. You always gain by giving love.",Reese Witherspoon,Love
Love is the great miracle cure. Loving ourselves works miracles in our lives.,Louise L. Hay,Love
Love is the ultimate expression of the will to live.,Tom Wolfe,Love
A gentle heart is tied with an easy thread.,George Herbert,Love
"Love is but the discovery of ourselves in others, and the delight in the recognition.",Alexander Smith,Love
There is no surprise more magical than the surprise of being loved: It is God's finger on man's shoulder.,Charles Morgan,Love
"I can live without money, but I cannot live without love.",Judy Garland,Love
"Love is not only something you feel, it is something you do.",David Wilkerson,Love
"When love is not madness, it is not love.",Pedro Calderon de la Barca,Love
A very small degree of hope is sufficient to cause the birth of love.,Stendhal,Love
The love we have in our youth is superficial compared to the love that an old man has for his old wife.,Will Durant,Love
"Follow love and it will flee, flee love and it will follow thee.",John Gay,Love
"We are all born for love. It is the principle of existence, and its only end.",Benjamin Disraeli,Love
"No, there's nothing half so sweet in life as love's young dream.",Thomas Moore,Love
"When you're in love you never really know whether your elation comes from the qualities of the one you love, or if it attributes them to her; whether the light which surrounds her like a halo comes from you, from her, or from the meeting of your sparks.",Natalie Clifford Barney,Love
To love is to admire with the heart; to admire is to love with the mind.,Theophile Gautier,Love
"If you can learn to love yourself and all the flaws, you can love other people so much better. And that makes you so happy.",Kristin Chenoweth,Love
Who so loves believes the impossible.,Elizabeth Barrett Browning,Love
Love is a mutual self-giving which ends in self-recovery.,Fulton J. Sheen,Love
The love of liberty is the love of others; the love of power is the love of ourselves.,William Hazlitt,Love
What the world really needs is more love and less paper work.,Pearl Bailey,Love
What the world really needs is more love and less paper work.,Pearl Bailey,Love
Our first and last love is self-love.,Christian Nestell Bovee,Love
This love is silent.,T. S. Eliot,Love
"I can live without money, but I cannot live without love.",Judy Garland,Love
"There's no bad consequence to loving fully, with all your heart. You always gain by giving love.",Reese Witherspoon,Love
It is difficult to know at what moment love begins; it is less difficult to know that it has begun.,Henry Wadsworth Longfellow,Love
"Gestures, in love, are incomparably more attractive, effective and valuable than words.",Francois Rabelais,Love
"All my life, my heart has yearned for a thing I cannot name.",Andre Breton,Love
"There is always something left to love. And if you ain't learned that, you ain't learned nothing.",Lorraine Hansberry,Love
Only divine love bestows the keys of knowledge.,Arthur Rimbaud,Love
The best proof of love is trust.,Joyce Brothers,Love
"Love is not only something you feel, it is something you do.",David Wilkerson,Love
"Love, having no geography, knows no boundaries.",Truman Capote,Love
"True love comes quietly, without banners or flashing lights. If you hear bells, get your ears checked.",Erich Segal,Love
Love is what you've been through with somebody.,James Thurber,Love
I don't know that love changes. People change. Circumstances change.,Nicholas Sparks,Love
"It is love, not reason, that is stronger than death.",Thomas Mann,Love
"It is sad not to love, but it is much sadder not to be able to love.",Miguel de Unamuno,Love
Stolen kisses are always sweetest.,Leigh Hunt,Love
"Come live in my heart, and pay no rent.",Samuel Lover,Love
To love is to admire with the heart; to admire is to love with the mind.,Theophile Gautier,Love
"You learn to speak by speaking, to study by studying, to run by running, to work by working; in just the same way, you learn to love by loving.",Anatole France,Love
"Let no one who loves be unhappy, even love unreturned has its rainbow.",James M. Barrie,Love
"When you love a man, he becomes more than a body. His physical limbs expand, and his outline recedes, vanishes. He is rich and sweet and right. He is part of the world, the atmosphere, the blue sky and the blue water.",Gwendolyn Brooks,Love
Sometimes it's hard to be a woman giving all your love to just one man.,Tammy Wynette,Love
Who would give a law to lovers? Love is unto itself a higher law.,Boethius,Love
"Love is the hardest habit to break, and the most difficult to satisfy.",Drew Barrymore,Love
"Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.",Joseph Conrad,Love
The truth is that there is only one terminal dignity - love. And the story of a love is not important - what is important is that one is capable of love. It is perhaps the only glimpse we are permitted of eternity.,Helen Hayes,Love
"I think it is all a matter of love: the more you love a memory, the stronger and stranger it is.",Vladimir Nabokov,Love
Love is blind.,Geoffrey Chaucer,Love
"The truth is that love smashes into your life like an ice floe, and even if your heart is built like the Titanic you go down.",Jeanette Winterson,Love
Self-love is the source of all our other loves.,Pierre Corneille,Love
People think love is an emotion. Love is good sense.,Ken Kesey,Love
"A man reserves his true and deepest love not for the species of woman in whose company he finds himself electrified and enkindled, but for that one in whose company he may feel tenderly drowsy.",George Jean Nathan,Love
Sometimes it's a form of love just to talk to somebody that you have nothing in common with and still be fascinated by their presence.,David Byrne,Love
Love is the magician that pulls man out of his own hat.,Ben Hecht,Love
Love is suffering. One side always loves more.,Catherine Deneuve,Love
There are never enough I Love You's.,Lenny Bruce,Love
Ultimately love is everything.,M. Scott Peck,Love
"The cure for all the ills and wrongs, the cares, the sorrows, and the crimes of humanity, all lie in the one word 'love'. It is the divine vitality that everywhere produces and restores life.",Lydia M. Child,Love
Love will draw an elephant through a key-hole.,Samuel Richardson,Love
There isn't any formula or method. You learn to love by loving - by paying attention and doing what one thereby discovers has to be done.,Aldous Huxley,Love
There is no person that love cannot heal; there is no soul that love cannot save.,Carlos Santana,Love
It is easier to love humanity as a whole than to love one's neighbor.,Eric Hoffer,Love
Love is never wrong.,Melissa Etheridge,Love
"Your words are my food, your breath my wine. You are everything to me.",Sarah Bernhardt,Love
Great thoughts come from the heart.,Luc de Clapiers,Love
You will find as you look back upon your life that the moments when you have truly lived are the moments when you have done things in the spirit of love.,Henry Drummond,Love
"Suffering passes, while love is eternal. That's a gift that you have received from God. Don't waste it.",Laura Ingalls Wilder,Love
