quotes,authors,categories
"The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity.",Arthur Schopenhauer,Medical
The good physician treats the disease; the great physician treats the patient who has the disease.,William Osler,Medical
When I was born I was so ugly the doctor slapped my mother.,Rodney Dangerfield,Medical
The art of medicine consists in amusing the patient while nature cures the disease.,Voltaire,Medical
A hospital bed is a parked taxi with the meter running.,Groucho Marx,Medical
Walking is man's best medicine.,Hippocrates,Medical
I told the doctor I broke my leg in two places. He told me to quit going to those places.,Henny Youngman,Medical
Doctors will have more lives to answer for in the next world than even we generals.,Napoleon Bonaparte,Medical
Never go to a doctor whose office plants have died.,Erma Bombeck,Medical
"For the mind disturbed, the still beauty of dawn is nature's finest balm.",Edwin Way Teale,Medical
The greatest evil is physical pain.,Saint Augustine,Medical
I am dying from the treatment of too many physicians.,Alexander the Great,Medical
"Illness is the doctor to whom we pay most heed; to kindness, to knowledge, we make promise only; pain we obey.",Marcel Proust,Medical
"As a medical doctor, it is my duty to evaluate the situation with as much data as I can gather and as much expertise as I have and as much experience as I have to determine whether or not the wish of the patient is medically justified.",Jack Kevorkian,Medical
I was going to have cosmetic surgery until I noticed that the doctor's office was full of portraits by Picasso.,Rita Rudner,Medical
"The physician's highest calling, his only calling, is to make sick people healthy - to heal, as it is termed.",Samuel Hahnemann,Medical
A hospital is no place to be sick.,Samuel Goldwyn,Medical
To array a man's will against his sickness is the supreme art of medicine.,Henry Ward Beecher,Medical
The doctors x-rayed my head and found nothing.,Dizzy Dean,Medical
"Medicine is my lawful wife and literature my mistress; when I get tired of one, I spend the night with the other.",Anton Chekhov,Medical
"As a surgeon you have to have a controlled arrogance. If it's uncontrolled, you kill people, but you have to be pretty arrogant to saw through a person's chest, take out their heart and believe you can fix it. Then, when you succeed and the patient survives, you pray, because it's only by the grace of God that you get there.",Mehmet Oz,Medical
"You may not be able to read a doctor's handwriting and prescription, but you'll notice his bills are neatly typewritten.",Earl Wilson,Medical
"We should be concerned not only about the health of individual patients, but also the health of our entire society.",Ben Carson,Medical
