quotes,authors,categories
Waste no more time arguing about what a good man should be. Be one.,Marcus Aurelius,Men
The greatest deception men suffer is from their own opinions.,Leonardo da Vinci,Men
A gentleman is simply a patient wolf.,Lana Turner,Men
The mass of men lead lives of quiet desperation. What is called resignation is confirmed desperation.,Henry David Thoreau,Men
"Men are like steel. When they lose their temper, they lose their worth.",Chuck Norris,Men
Men are more easily governed through their vices than through their virtues.,Napoleon Bonaparte,Men
"It is the privilege of the gods to want nothing, and of godlike men to want little.",Diogenes,Men
"If you have men who will exclude any of God's creatures from the shelter of compassion and pity, you will have men who will deal likewise with their fellow men.",Francis of Assisi,Men
Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,Mahatma Gandhi,Men
Those men get along best with women who can get along best without them.,Charles Baudelaire,Men
"The less men think, the more they talk.",Montesquieu,Men
"Pride, envy, avarice - these are the sparks have set on fire the hearts of all men.",Dante Alighieri,Men
Neutral men are the devil's allies.,Edwin Hubbel Chapin,Men
"A woman simply is, but a man must become.",Camille Paglia,Men
Culture makes all men gentle.,Menander,Men
"Whatever makes men good Christians, makes them good citizens.",Daniel Webster,Men
Do not put such unlimited power into the hands of husbands. Remember all men would be tyrants if they could.,Abigail Adams,Men
Men do not quit playing because they grow old; they grow old because they quit playing.,"Oliver Wendell Holmes, Sr.",Men
Luck is not something you can mention in the presence of self-made men.,E. B. White,Men
Men must know their limitations.,Clint Eastwood,Men
I never wanted to weigh more heavily on a man than a bird.,Coco Chanel,Men
"Boys will be boys, and so will a lot of middle-aged men.",Kin Hubbard,Men
"Every man needs two women: a quiet home-maker, and a thrilling nymph.",Iris Murdoch,Men
Men do not fail; they give up trying.,Elihu Root,Men
"Like all young men I set out to be a genius, but mercifully laughter intervened.",Lawrence Durrell,Men
"Where all men think alike, no one thinks very much.",Walter Lippmann,Men
A bachelor is a guy who never made the same mistake once.,Phyllis Diller,Men
"Do not trust all men, but trust men of worth; the former course is silly, the latter a mark of prudence.",Democritus,Men
"Either men will learn to live like brothers, or they will die like beasts.",Max Lerner,Men
The true index of a man's character is the health of his wife.,Cyril Connolly,Men
"When women love us, they forgive us everything, even our crimes; when they do not love us, they give us credit for nothing, not even our virtues.",Honore de Balzac,Men
First find the man in yourself if you will inspire manliness in others.,Amos Bronson Alcott,Men
Men don't care what's on TV. They only care what else is on TV.,Jerry Seinfeld,Men
"Stronger by weakness, wiser men become.",Edmund Waller,Men
Treat all men alike. Give them the same law. Give them an even chance to live and grow.,Chief Joseph,Men
"Men are like sheep, of which a flock is more easily driven than a single one.",Richard Whately,Men
Every man is a volume if you know how to read him.,William Ellery Channing,Men
It's at the borders of pain and suffering that the men are separated from the boys.,Emil Zatopek,Men
I am an agnostic; I do not pretend to know what many ignorant men are sure of.,Clarence Darrow,Men
"Passion makes idiots of the cleverest men, and makes the biggest idiots clever.",Francois de La Rochefoucauld,Men
"By nature, men love newfangledness.",Geoffrey Chaucer,Men
"Most men, when they think they are thinking, are merely rearranging their prejudices.",Knute Rockne,Men
For tis not in mere death that men die most.,Elizabeth Barrett Browning,Men
Men tire themselves in pursuit of rest.,Laurence Sterne,Men
Men are actually the weaker sex.,George Weinberg,Men
"Men are freest when they are most unconscious of freedom. The shout is a rattling of chains, always was.",D. H. Lawrence,Men
"He was one of those men who possess almost every gift, except the gift of the power to use them.",Charles Kingsley,Men
"A lot of times, women don't get the male perspective in regards to a relationship, what men go through when they're not really dealing well.",Morris Chestnut,Men
"If the world were a logical place, men would ride side saddle.",Rita Mae Brown,Men
Nothing is as peevish and pedantic as men's judgments of one another.,Desiderius Erasmus,Men
"All men have an instinct for conflict: at least, all healthy men.",Hilaire Belloc,Men
"Commitment means that it is possible for a man to yield the nerve center of his consent to a purpose or cause, a movement or an ideal, which may be more important to him than whether he lives or dies.",Howard Thurman,Men
"In life we shall find many men that are great, and some that are good, but very few men that are both great and good.",Charles Caleb Colton,Men
"Men may live fools, but fools they cannot die.",Edward Young,Men
"Men, as well as women, are much oftener led by their hearts than by their understandings.","Philip Stanhope, 4th Earl of Chesterfield",Men
Men always want to be a woman's first love - women like to be a man's last romance.,Oscar Wilde,Men
"The beauty of a strong, lasting commitment is often best understood by men incapable of it.",Murray Kempton,Men
"When a man is no longer anxious to do better than well, he is done for.",Benjamin Haydon,Men
Human misery is too great for men to do without faith.,Heinrich Heine,Men
"Women prefer to talk in twos, while men prefer to talk in threes.",Gilbert K. Chesterton,Men
"Every time a man expects, as he says, his money to work for him, he is expecting other people to work for him.",Dorothy L. Sayers,Men
For most men life is a search for the proper manila envelope in which to get themselves filed.,Clifton Fadiman,Men
Men are often biased in their judgment on account of their sympathy and their interests.,George William Norris,Men
Honor is simply the morality of superior men.,H. L. Mencken,Men
Circumstances rule men; men do not rule circumstances.,Herodotus,Men
"Without feelings of respect, what is there to distinguish men from beasts?",Confucius,Men
Men are not against you; they are merely for themselves.,Gene Fowler,Men
"I think men are afraid to be with a successful woman, because we are terribly strong, we know what we want and we are not fragile enough.",Shirley Bassey,Men
The truth is found when men are free to pursue it.,Franklin D. Roosevelt,Men
"What do women do when they get together? We sit around and talk! Men, not so much. My theory is that this difference is genetic and dates back to the hunter-gatherer societies, when the men had to be quiet as they hunted, lest they scare away the bison and then everyone starved to death and it was all their fault.",Jenna McCarthy,Men
Men won't read any email from a woman that's over 200 words long.,Douglas Coupland,Men
No gentleman ever discusses any relationship with a lady.,Keith Miller,Men
"We should weep for men at their birth, not at their death.",Montesquieu,Men
"Men rise from one ambition to another: first, they seek to secure themselves against attack, and then they attack others.",Niccolo Machiavelli,Men
"I only like two kinds of men, domestic and imported.",Mae West,Men
Women thrive on novelty and are easy meat for the commerce of fashion. Men prefer old pipes and torn jackets.,Anthony Burgess,Men
Men have as exaggerated an idea of their rights as women have of their wrongs.,E. W. Howe,Men
"'Tis easy enough to be pleasant, When life flows along like a song; But the man worth while is the one who will smile when everything goes dead wrong.",Ella Wheeler Wilcox,Men
"Nothing great will ever be achieved without great men, and men are great only if they are determined to be so.",Charles de Gaulle,Men
No nice men are good at getting taxis.,Katharine Whitehorn,Men
"Man as an individual is a genius. But men in the mass form the headless monster, a great, brutish idiot that goes where prodded.",Charlie Chaplin,Men
Men get to be a mixture of the charming mannerisms of the women they have known.,F. Scott Fitzgerald,Men
"I usually make up my mind about a man in ten seconds, and I very rarely change it.",Margaret Thatcher,Men
Men aren't necessities. They're luxuries.,Cher,Men
"Men become much more attractive when they start looking older. But it doesn't do much for women, though we do have an advantage: make-up.",Bette Davis,Men
"Men are not punished for their sins, but by them.",Kin Hubbard,Men
Men often act knowingly against their interest.,David Hume,Men
"When two men in business always agree, one of them is unnecessary.",Ezra Pound,Men
All men were made by the Great Spirit Chief. They are all brothers.,Chief Joseph,Men
"Italian men do appreciate beautiful women. They're not afraid of the beauty, which is nice.",Eva Herzigova,Men
Men should strive to think much and know little.,Democritus,Men
"When men and women agree, it is only in their conclusions; their reasons are always different.",George Santayana,Men
Men of lofty genius when they are doing the least work are most active.,Leonardo da Vinci,Men
"Whenever ideas fail, men invent words.",Martin H. Fischer,Men
Men can only be happy when they do not assume that the object of life is happiness.,George Orwell,Men
"I look only to the good qualities of men. Not being faultless myself, I won't presume to probe into the faults of others.",Mahatma Gandhi,Men
The first rule of business is: Do other men for they would do you.,Charles Dickens,Men
There is no such thing as justice in the abstract; it is merely a compact between men.,Epicurus,Men
"For many men, the acquisition of wealth does not end their troubles, it only changes them.",Lucius Annaeus Seneca,Men
All men who have turned out worth anything have had the chief hand in their own education.,Walter Scott,Men
"Men, who are rogues individually, are in the mass very honorable people.",Montesquieu,Men
Men's arguments often prove nothing but their wishes.,Charles Caleb Colton,Men
Manhood coerced into sensitivity is no manhood at all.,Camille Paglia,Men
Many men owe the grandeur of their lives to their tremendous difficulties.,Charles Spurgeon,Men
"Deliberation is the work of many men. Action, of one alone.",Charles de Gaulle,Men
"Time destroys the speculation of men, but it confirms nature.",Marcus Tullius Cicero,Men
"When a hundred men stand together, each of them loses his mind and gets another one.",Friedrich Nietzsche,Men
By indignities men come to dignities.,Francis Bacon,Men
My mom said the only reason men are alive is for lawn care and vehicle maintenance.,Tim Allen,Men
