quotes,authors,categories
"All that I am, or hope to be, I owe to my angel mother.",Abraham Lincoln,Mother's Day
"God could not be everywhere, and therefore he made mothers.",Rudyard Kipling,Mother's Day
Mother is the name for God in the lips and hearts of little children.,William Makepeace Thackeray,Mother's Day
The most important thing a father can do for his children is to love their mother.,Theodore Hesburgh,Mother's Day
A mother's arms are made of tenderness and children sleep soundly in them.,Victor Hugo,Mother's Day
Life began with waking up and loving my mother's face.,George Eliot,Mother's Day
"Mother's love is peace. It need not be acquired, it need not be deserved.",Erich Fromm,Mother's Day
Motherhood: All love begins and ends there.,Robert Browning,Mother's Day
My mother is a walking miracle.,Leonardo DiCaprio,Mother's Day
"It may be possible to gild pure gold, but who can make his mother more beautiful?",Mahatma Gandhi,Mother's Day
"Mama was my greatest teacher, a teacher of compassion, love and fearlessness. If love is sweet as a flower, then my mother is that sweet flower of love.",Stevie Wonder,Mother's Day
Children are the anchors that hold a mother to life.,Sophocles,Mother's Day
"A mother's happiness is like a beacon, lighting up the future but reflected also on the past in the guise of fond memories.",Honore de Balzac,Mother's Day
"If evolution really works, how come mothers only have two hands?",Milton Berle,Mother's Day
For when a child is born the mother also is born again.,Gilbert Parker,Mother's Day
The love of a mother is the veil of a softer light between the heart and the heavenly Father.,Samuel Taylor Coleridge,Mother's Day
My mom is definitely my rock.,Alicia Keys,Mother's Day
"My dear Mama, you are definitely the hen who hatched a famous duck.",Henri de Toulouse-Lautrec,Mother's Day
With what price we pay for the glory of motherhood.,Isadora Duncan,Mother's Day
I was always at peace because of the way my mom treated me.,Martina Hingis,Mother's Day
Sometimes the strength of motherhood is greater than natural laws.,Barbara Kingsolver,Mother's Day
When my mother had to get dinner for 8 she'd just make enough for 16 and only serve half.,Gracie Allen,Mother's Day
There is nothing in the world of art like the songs mother used to sing.,Billy Sunday,Mother's Day
I got to grow up with a mother who taught me to believe in me.,Antonio Villaraigosa,Mother's Day
"The babe at first feeds upon the mother's bosom, but it is always on her heart.",Henry Ward Beecher,Mother's Day
Motherhood is... difficult and... rewarding.,Gloria Estefan,Mother's Day
I remember my mother's prayers and they have always followed me. They have clung to me all my life.,Abraham Lincoln,Mother's Day
Who's a boy gonna talk to if not his mother?,Donald E. Westlake,Mother's Day
