quotes,authors,categories
It does not matter how slowly you go as long as you do not stop.,Confucius,Motivational
"If you're going through hell, keep going.",Winston Churchill,Motivational
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison,Motivational
It always seems impossible until it's done.,Nelson Mandela,Motivational
Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,Norman Vincent Peale,Motivational
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome,Motivational
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll,Motivational
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,Motivational
"If you fell down yesterday, stand up today.",H. G. Wells,Motivational
A will finds a way.,Orison Swett Marden,Motivational
Either you run the day or the day runs you.,Jim Rohn,Motivational
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,Samuel Beckett,Motivational
"Quality is not an act, it is a habit.",Aristotle,Motivational
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu,Motivational
"If you can dream it, you can do it.",Walt Disney,Motivational
"When something is important enough, you do it even if the odds are not in your favor.",Elon Musk,Motivational
What you do today can improve all your tomorrows.,Ralph Marston,Motivational
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton,Motivational
Start where you are. Use what you have. Do what you can.,Arthur Ashe,Motivational
"The most effective way to do it, is to do it.",Amelia Earhart,Motivational
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.",Pope John XXIII,Motivational
"Keep your eyes on the stars, and your feet on the ground.",Theodore Roosevelt,Motivational
Don't watch the clock; do what it does. Keep going.,Sam Levenson,Motivational
With the new day comes new strength and new thoughts.,Eleanor Roosevelt,Motivational
The secret of getting ahead is getting started.,Mark Twain,Motivational
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe,Motivational
We should not give up and we should not allow the problem to defeat us.,A. P. J. Abdul Kalam,Motivational
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins,Motivational
"When you reach the end of your rope, tie a knot in it and hang on.",Franklin D. Roosevelt,Motivational
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot,Motivational
"There is only one corner of the universe you can be certain of improving, and that's your own self.",Aldous Huxley,Motivational
We may encounter many defeats but we must not be defeated.,Maya Angelou,Motivational
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia,Motivational
"The key is to keep company only with people who uplift you, whose presence calls forth your best.",Epictetus,Motivational
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi,Motivational
You can't cross the sea merely by standing and staring at the water.,Rabindranath Tagore,Motivational
"Aim for the moon. If you miss, you may hit a star.",W. Clement Stone,Motivational
Be kind whenever possible. It is always possible.,Dalai Lama,Motivational
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,Motivational
Well done is better than well said.,Benjamin Franklin,Motivational
"Problems are not stop signs, they are guidelines.",Robert H. Schuller,Motivational
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino,Motivational
Never complain and never explain.,Benjamin Disraeli,Motivational
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar,Motivational
Act as if what you do makes a difference. It does.,William James,Motivational
Things do not happen. Things are made to happen.,John F. Kennedy,Motivational
"Set your goals high, and don't stop till you get there.",Bo Jackson,Motivational
You are never too old to set another goal or to dream a new dream.,Les Brown,Motivational
"A creative man is motivated by the desire to achieve, not by the desire to beat others.",Ayn Rand,Motivational
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis,Motivational
Only I can change my life. No one can do it for me.,Carol Burnett,Motivational
"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",Wayne Dyer,Motivational
Expect problems and eat them for breakfast.,Alfred A. Montapert,Motivational
Be Impeccable With Your Word. Speak with integrity. Say only what you mean. Avoid using the word to speak against yourself or to gossip about others. Use the power of your word in the direction of truth and love.,Don Miguel Ruiz,Motivational
The past cannot be changed. The future is yet in your power.,Unknown,Motivational
