quotes,authors,categories
"Pick up a camera. Shoot something. No matter how small, no matter how cheesy, no matter whether your friends and your sister star in it. Put your name on it as director. Now you're a director. Everything after that you're just negotiating your budget and your fee.",James Cameron,Movies
Cinema is the most beautiful fraud in the world.,Jean-Luc Godard,Movies
"If you want a happy ending, that depends, of course, on where you stop your story.",Orson Welles,Movies
"When people ask me if I went to film school I tell them, 'no, I went to films.'",Quentin Tarantino,Movies
The most honest form of filmmaking is to make a film for yourself.,Peter Jackson,Movies
Cinema is a matter of what's in the frame and what's out.,Martin Scorsese,Movies
Movies can and do have tremendous influence in shaping young lives in the realm of entertainment towards the ideals and objectives of normal adulthood.,Walt Disney,Movies
Television is chewing gum for the eyes.,Frank Lloyd Wright,Movies
Filmmaking is a chance to live many lifetimes.,Robert Altman,Movies
"I think cinema, movies, and magic have always been closely associated. The very earliest people who made film were magicians.",Francis Ford Coppola,Movies
The sound and music are 50% of the entertainment in a movie.,George Lucas,Movies
"A film is - or should be - more like music than like fiction. It should be a progression of moods and feelings. The theme, what's behind the emotion, the meaning, all that comes later.",Stanley Kubrick,Movies
The length of a film should be directly related to the endurance of the human bladder.,Alfred Hitchcock,Movies
"Everybody has something that chews them up and, for me, that thing was always loneliness. The cinema has the power to make you not feel lonely, even when you are.",Tom Hanks,Movies
"Acting is not about being famous, it's about exploring the human soul.",Annette Bening,Movies
Cinema should make you forget you are sitting in a theater.,Roman Polanski,Movies
Movies are like an expensive form of therapy for me.,Tim Burton,Movies
"You know what your problem is, it's that you haven't seen enough movies - all of life's riddles are answered in the movies.",Steve Martin,Movies
Filmmaking can be a fine art.,Terri Windling,Movies
A film is a petrified fountain of thought.,Jean Cocteau,Movies
"The most amazing thing for me is that every single person who sees a movie, not necessarily one of my movies, brings a whole set of unique experiences. Now, through careful manipulation and good storytelling, you can get everybody to clap at the same time, to hopefully laugh at the same time, and to be afraid at the same time.",Steven Spielberg,Movies
"The difference between life and the movies is that a script has to make sense, and life doesn't.",Joseph L. Mankiewicz,Movies
Shoot a few scenes out of focus. I want to win the foreign film award.,Billy Wilder,Movies
Every great film should seem new every time you see it.,Roger Ebert,Movies
Movies are like magic tricks.,Jeff Bridges,Movies
"There's only one thing that can kill the movies, and that's education.",Will Rogers,Movies
"It's the movies that have really been running things in America ever since they were invented. They show you what to do, how to do it, when to do it, how to feel about it, and how to look how you feel about it.",Andy Warhol,Movies
Film spectators are quiet vampires.,Jim Morrison,Movies
We are the movies and the movies are us.,David Ansen,Movies
I have a love interest in every one of my films: a gun.,Arnold Schwarzenegger,Movies
"If my films make one more person miserable, I'll feel I have done my job.",Woody Allen,Movies
I'm married to the theater but my mistress is the films.,Oskar Werner,Movies
I made mistakes in drama. I thought drama was when actors cried. But drama is when the audience cries.,Frank Capra,Movies
A cinema villain essentially needs a moustache so he can twiddle with it gleefully as he cooks up his next nasty plan.,Mel Brooks,Movies
"Movies are a complicated collision of literature, theatre, music and all the visual arts.",Yahoo Serious,Movies
Movies are an art form that is very available to the masses.,Richard King,Movies
"Every single art form is involved in film, in a way.",Sydney Pollack,Movies
"Make them laugh, make them cry, and hack to laughter. What do people go to the theatre for? An emotional exercise. I am a servant of the people. I have never forgotten that.",Mary Pickford,Movies
I don't want to dress up a picture with just my face.,Grace Kelly,Movies
"I don't take the movies seriously, and anyone who does is in for a headache.",Bette Davis,Movies
A wide screen just makes a bad film twice as bad.,Samuel Goldwyn,Movies
"An actress is not a machine, but they treat you like a machine. A money machine.",Marilyn Monroe,Movies
The movies we love and admire are to some extent a function of who we are when we see them.,Mary Schmich,Movies
I didn't have any ambition to produce big mainstream popcorn movies.,Jodie Foster,Movies
The end of a picture is always an end of a life.,Sam Peckinpah,Movies
"If the boy and girl walk off into the sunset hand-in-hand in the last scene, it adds 10 million to the box office.",George Lucas,Movies
"If you don't like my movies, don't watch them.",Dario Argento,Movies
"Horror movies are the best date movies. There's no wondering, 'When do I put my arm around her?'",Eli Roth,Movies
Movies are something people see all over the world because there is a certain need for it.,Wim Wenders,Movies
"I like something where I can really use my imagination and be an active participant in the construction of the monster and usually that's in the world of the supernatural or the world of the fantastic, so that's why those kinds of stories about demons and the supernatural appeal to me or maybe I'm really interested in that subject.",Sam Raimi,Movies
Hitchcock had a charm about him. He was very funny at times. He was incredibly brilliant in his field of suspense.,Tippi Hedren,Movies
"If you're sitting in your minivan, playing your computer animated films for your children in the back seat, is it the animation that's entertaining you as you drive and listen? No, it's the storytelling. That's why we put so much importance on story. No amount of great animation will save a bad story.",John Lasseter,Movies
To grasp the full significance of life is the actor's duty; to interpret it his problem; and to express it his dedication.,James Dean,Movies
"A story should have a beginning, a middle and an end, but not necessarily in that order.",Jean-Luc Godard,Movies
"Filmmaking is a completely imperfect art form that takes years and, over those years, the movie tells you what it is. Mistakes happen, accidents happen and true great films are the results of those mistakes and the decisions that those directors make during those moments.",Jason Reitman,Movies
I am a cynical optimist. Big opening weekends are like cotton candy. The films you will remember over time are the films that stick in the consciousness of the audience in a good way.,Robert Redford,Movies
Learning to make films is very easy. Learning what to make films about is very hard.,George Lucas,Movies
A film is never really good unless the camera is an eye in the head of a poet.,Orson Welles,Movies
"A good film is when the price of the dinner, the theatre admission and the babysitter were worth it.",Alfred Hitchcock,Movies
'Mr. Smith Goes to Washington' is one of the greatest films of all time.,Laura Dern,Movies
The movies are the only business where you can go out front and applaud yourself.,Will Rogers,Movies
The great art of films does not consist of descriptive movement of face and body but in the movements of thought and soul transmitted in a kind of intense isolation.,Louise Brooks,Movies
"I don't think you should feel about a film. You should feel about a woman, not a movie. You can't kiss a movie.",Jean-Luc Godard,Movies
A filmmaker has almost the same freedom as a novelist has when he buys himself some paper.,Stanley Kubrick,Movies
"Even if I set out to make a film about a fillet of sole, it would be about me.",Federico Fellini,Movies
Learning to make films is very easy. Learning what to make films about is very hard.,George Lucas,Movies
Always make the audience suffer as much as possible.,Alfred Hitchcock,Movies
I never thought I'd land in pictures with a face like mine.,Audrey Hepburn,Movies
"If my films don't show a profit, I know I'm doing something right.",Woody Allen,Movies
"Horror movies are the best date movies. There's no wondering, 'When do I put my arm around her?'",Eli Roth,Movies
"'Home Alone' was a movie, not an alibi.",Jerry Orbach,Movies
I was going to go to a four-year college and be an anthropologist or to an art school and be an illustrator when a friend convinced me to learn photography at the University of Southern California. Little did I know it was a school that taught you how to make movies! It had never occurred to me that I'd ever have any interest in filmmaking.,George Lucas,Movies
"You read a script and its based on 'Reservoir Dogs' and 'Pulp Fiction', and it goes right in the bin.",Tim Roth,Movies
"If I can't get the girl, at least give me more money.",Alan Alda,Movies
"You can map your life through your favorite movies, and no two people's maps will be the same.",Mary Schmich,Movies
"So much of movie acting is in the lighting. And in loving your characters. I try to know them, and with that intimacy comes love. And now, I love Voldemort.",Ralph Fiennes,Movies
"A lot of movies are about life, mine are like a slice of cake.",Alfred Hitchcock,Movies
I'm not a real movie star. I've still got the same wife I started out with twenty-eight years ago.,Will Rogers,Movies
Hitchcock had a charm about him. He was very funny at times. He was incredibly brilliant in his field of suspense.,Tippi Hedren,Movies
"If you're sitting in your minivan, playing your computer animated films for your children in the back seat, is it the animation that's entertaining you as you drive and listen? No, it's the storytelling. That's why we put so much importance on story. No amount of great animation will save a bad story.",John Lasseter,Movies
To grasp the full significance of life is the actor's duty; to interpret it his problem; and to express it his dedication.,James Dean,Movies
Go see it and see for yourself why you shouldn't go see it.,Samuel Goldwyn,Movies
"I've made 122 movies, and I daresay there's a picture of mine showing somewhere in the world every day.",Tony Curtis,Movies
A wide screen just makes a bad film twice as bad.,Samuel Goldwyn,Movies
Citizen Kane is perhaps the one American talking picture that seems as fresh now as the day it opened. It may seem even fresher.,Pauline Kael,Movies
"Filmmaking is a completely imperfect art form that takes years and, over those years, the movie tells you what it is. Mistakes happen, accidents happen and true great films are the results of those mistakes and the decisions that those directors make during those moments.",Jason Reitman,Movies
'Mr. Smith Goes to Washington' is one of the greatest films of all time.,Laura Dern,Movies
I do believe that movies are subject to a million interpretations.,Oliver Stone,Movies
"I was obsessed with romance. When I was in high school, I saw 'Doctor Zhivago' every day from the day it opened until the day it left the theater.",John Hughes,Movies
"A hit for me is if I enjoy the movie, if I personally enjoy the movie.",Ridley Scott,Movies
"Well, the wonderful thing about making movies, oddly enough, is that they're sort of highly motivated graduate studies in one or another field.",Sydney Pollack,Movies
"Movies are not scripts - movies are films; they're not books, they're not the theatre.",Nicolas Roeg,Movies
"I think it would be very boring dramatically to have a film where everybody was a lawyer or doctor and had no faults. To me, the most important thing is to be truthful.",Spike Lee,Movies
Everyone told me to pass on 'Speed' because it was a 'bus movie.',Sandra Bullock,Movies
There's an electrical thing about movies.,Oliver Stone,Movies
"I think you kind of hope for people to gush over movies, but I think the opposite way is great sometimes, too. I'd rather have a movie that you're angry about and that you're talking about the next day, than something you forget about when the popcorn goes into the trash.",Gabriel Mann,Movies
I never enjoyed working in a film.,Marlene Dietrich,Movies
I made over forty Westerns. I used to lie awake nights trying to think up new ways of getting on and off a horse.,William Wyler,Movies
And in movies you must be a gambler. To produce films is to gamble.,Douglas Sirk,Movies
When you make a film you usually make a film about an idea.,Sydney Pollack,Movies
Everybody's a filmmaker today.,John Milius,Movies
