quotes,authors,categories
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,Music
"Where words fail, music speaks.",Hans Christian Andersen,Music
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",Plato,Music
Music expresses that which cannot be said and on which it is impossible to be silent.,Victor Hugo,Music
"I think music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.",Billy Joel,Music
"Without music, life would be a mistake.",Friedrich Nietzsche,Music
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,Maya Angelou,Music
Music is the strongest form of magic.,Marilyn Manson,Music
"Music doesn't lie. If there is something to be changed in this world, then it can only happen through music.",Jimi Hendrix,Music
Beautiful music is the art of the prophets that can calm the agitations of the soul; it is one of the most magnificent and delightful presents God has given us.,Martin Luther,Music
Music can change the world because it can change people.,Bono,Music
Music is moonlight in the gloomy night of life.,Jean Paul,Music
"When words leave off, music begins.",Heinrich Heine,Music
"Music should strike fire from the heart of man, and bring tears from the eyes of woman.",Ludwig van Beethoven,Music
"After silence, that which comes nearest to expressing the inexpressible is music.",Aldous Huxley,Music
Music washes away from the soul the dust of everyday life.,Berthold Auerbach,Music
"Music is the divine way to tell beautiful, poetic things to the heart.",Pablo Casals,Music
"I was born with music inside me. Music was one of my parts. Like my ribs, my kidneys, my liver, my heart. Like my blood. It was a force already within me when I arrived on the scene. It was a necessity for me - like food or water.",Ray Charles,Music
You are the music while the music lasts.,T. S. Eliot,Music
Music is the soundtrack of your life.,Dick Clark,Music
"If music be the food of love, play on.",William Shakespeare,Music
"Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.",Walter Savage Landor,Music
Music is the shorthand of emotion.,Leo Tolstoy,Music
"Music is very spiritual, it has the power to bring people together.",Edgar Winter,Music
The world's most famous and popular language is music.,Psy,Music
There's nothing like music to relieve the soul and uplift it.,Mickey Hart,Music
"It is cruel, you know, that music should be so beautiful. It has the beauty of loneliness of pain: of strength and freedom. The beauty of disappointment and never-satisfied love. The cruel beauty of nature and everlasting beauty of monotony.",Benjamin Britten,Music
I don't make music for eyes. I make music for ears.,Adele,Music
"If you want to make beautiful music, you must play the black and the white notes together.",Richard M. Nixon,Music
Every song is like a painting.,Dick Dale,Music
"Remember the first time you went to a show and saw your favorite band. You wore their shirt, and sang every word. You didn't know anything about scene politics, haircuts, or what was cool. All you knew was that this music made you feel different from anyone you shared a locker with. Someone finally understood you. This is what music is about.",Gerard Way,Music
"If you want to be a rock star or just be famous, then run down the street naked, you'll make the news or something. But if you want music to be your livelihood, then play, play, play and play! And eventually you'll get to where you want to be.",Eddie Van Halen,Music
Music is well said to be the speech of angels.,Thomas Carlyle,Music
Music is love in search of a word.,Sidney Lanier,Music
Music happens to be an art form that transcends language.,Herbie Hancock,Music
The only love affair I have ever had was with music.,Maurice Ravel,Music
Music is only love looking for words.,Lawrence Durrell,Music
"Music, in performance, is a type of sculpture. The air in the performance is sculpted into something.",Frank Zappa,Music
Hell is full of musical amateurs.,George Bernard Shaw,Music
I don't know anything about music. In my line you don't have to.,Elvis Presley,Music
The wise musicians are those who play what they can master.,Duke Ellington,Music
"Jazz is smooth and cool. Jazz is rage. Jazz flows like water. Jazz never seems to begin or end. Jazz isn't methodical, but jazz isn't messy either. Jazz is a conversation, a give and take. Jazz is the connection and communication between musicians. Jazz is abandon.",Nat Wolff,Music
"For me, singing sad songs often has a way of healing a situation. It gets the hurt out in the open into the light, out of the darkness.",Reba McEntire,Music
Music should be your escape.,Missy Elliott,Music
Music is everybody's possession. It's only publishers who think that people own it.,John Lennon,Music
"Music is forever; music should grow and mature with you, following you right on up until you die.",Paul Simon,Music
"I've said that playing the blues is like having to be black twice. Stevie Ray Vaughan missed on both counts, but I never noticed.",B. B. King,Music
Music is the best means we have of digesting time.,W. H. Auden,Music
"That was when I realised that music is the most profound, magical form of communication there is.",Lesley Garrett,Music
"Lean your body forward slightly to support the guitar against your chest, for the poetry of the music should resound in your heart.",Andres Segovia,Music
Who hears music feels his solitude peopled at once.,Robert Browning,Music
If a composer could say what he had to say in words he would not bother trying to say it in music.,Gustav Mahler,Music
"You have the sun, you have the moon, you have the air that you breathe - and you have the Rolling Stones!",Keith Richards,Music
