quotes,authors,categories
"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.",Helen Keller,New Year's
"First you take a drink, then the drink takes a drink, then the drink takes you.",F. Scott Fitzgerald,New Year's
What I like to drink most is wine that belongs to others.,Diogenes,New Year's
"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.",Benjamin Franklin,New Year's
"I hope that in this year to come, you make mistakes. Because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something.",Neil Gaiman,New Year's
Write it on your heart that every day is the best day in the year.,Ralph Waldo Emerson,New Year's
And now we welcome the new year. Full of things that have never been.,Rainer Maria Rilke,New Year's
"Hope smiles from the threshold of the year to come, whispering, 'It will be happier.'",Alfred Lord Tennyson,New Year's
Celebrate what you want to see more of.,Tom Peters,New Year's
"Resolution One: I will live for God. Resolution Two: If no one else does, I still will.",Jonathan Edwards,New Year's
"The new year stands before us, like a chapter in a book, waiting to be written. We can help write that story by setting goals.",Melody Beattie,New Year's
Character is the ability to carry out a good resolution long after the excitement of the moment has passed.,Cavett Robert,New Year's
"Every time you tear a leaf off a calendar, you present a new place for new ideas and progress.",Charles Kettering,New Year's
What is there more kindly than the feeling between host and guest?,Aeschylus,New Year's
Sometimes too much to drink is barely enough.,Mark Twain,New Year's
"A year from now, you're gonna weigh more or less than what you do right now.",Phil McGraw,New Year's
I never worry about being driven to drink; I just worry about being driven home.,W. C. Fields,New Year's
"At a dinner party one should eat wisely but not too well, and talk well but not too wisely.",W. Somerset Maugham,New Year's
Cheers to a new year and another chance for us to get it right.,Oprah Winfrey,New Year's
"New Year's Day. A fresh start. A new chapter in life waiting to be written. New questions to be asked, embraced, and loved. Answers to be discovered and then lived in this transformative year of delight and self-discovery. Today carve out a quiet interlude for yourself in which to dream, pen in hand. Only dreams give birth to change.",Sarah Ban Breathnach,New Year's
"Dinner was made for eating, not for talking.",William Makepeace Thackeray,New Year's
Accept what people offer. Drink their milkshakes. Take their love.,Wally Lamb,New Year's
"Come, gentlemen, I hope we shall drink down all unkindness.",William Shakespeare,New Year's
"Year's end is neither an end nor a beginning but a going on, with all the wisdom that experience can instill in us.",Hal Borland,New Year's
I don't even drink! I can't stand the taste of alcohol. Every New Year's Eve I try one drink and every time it makes me feel sick. So I don't touch booze - I'm always the designated driver.,Kim Kardashian,New Year's
Strange to see how a good dinner and feasting reconciles everybody.,Samuel Pepys,New Year's
"All of us every single year, we're a different person. I don't think we're the same person all our lives.",Steven Spielberg,New Year's
"Those who gave thee a body, furnished it with weakness; but He who gave thee Soul, armed thee with resolution. Employ it, and thou art wise; be wise and thou art happy.",Akhenaton,New Year's
Each age has deemed the new-born year the fittest time for festal cheer.,Walter Scott,New Year's
"I think in terms of the day's resolutions, not the years'.",Henry Moore,New Year's
"Let our New Year's resolution be this: we will be there for one another as fellow members of humanity, in the finest sense of the word.",Goran Persson,New Year's
New Year's Day is every man's birthday.,Charles Lamb,New Year's
"Going to a party, for me, is as much a learning experience as, you know, sitting in a lecture.",Natalie Portman,New Year's
"New Year's Resolution: To tolerate fools more gladly, provided this does not encourage them to take up more of my time.",James Agate,New Year's
"The object of a New Year is not that we should have a new year. It is that we should have a new soul and a new nose; new feet, a new backbone, new ears, and new eyes. Unless a particular man made New Year resolutions, he would make no resolutions. Unless a man starts afresh about things, he will certainly do nothing effective.",Gilbert K. Chesterton,New Year's
"If you are young and you drink a great deal it will spoil your health, slow your mind, make you fat - in other words, turn you into an adult.",P. J. O'Rourke,New Year's
"If you want an interesting party sometime, combine cocktails and a fresh box of crayons for everyone.",Robert Fulghum,New Year's
"If you asked me for my New Year Resolution, it would be to find out who I am.",Cyril Cusack,New Year's
Good parties create a temporary youthfulness.,Mason Cooley,New Year's
Deep breaths are very helpful at shallow parties.,Barbara Walters,New Year's
Dick Clark will be truly missed. We will carry on his legacy every New Year's Eve.,Fergie,New Year's
"I know. I'm lazy. But I made myself a New Years resolution that I would write myself something really special. Which means I have 'til December, right?",Catherine O'Hara,New Year's
"I have no way of knowing how people really feel, but the vast majority of those I meet couldn't be nicer. Every once in a while someone barks at me. My New Year's resolution is not to bark back.",Tucker Carlson,New Year's
"I had a New Year's kiss once. But it was like, 'Let's start the year off together,' and then we wound up breaking up the night after!",Joe Jonas,New Year's
"To be an ideal guest, stay at home.",E. W. Howe,New Year's
I've had some lovely extraordinary experiences on New Year's Eve.,Debbie Harry,New Year's
Take a leap of faith and begin this wondrous new year by believing. Believe in yourself. And believe that there is a loving Source - a Sower of Dreams - just waiting to be asked to help you make your dreams come true.,Sarah Ban Breathnach,New Year's
"Ring out the false, ring in the true.",Alfred Lord Tennyson,New Year's
"Make New Year's goals. Dig within, and discover what you would like to have happen in your life this year. This helps you do your part. It is an affirmation that you're interested in fully living life in the year to come.",Melody Beattie,New Year's
I doubt if you can have a truly wild party without liquor.,Carl Sandburg,New Year's
My New Year's resolution is to stick to a good workout plan that will keep me healthy and happy.,James Lafferty,New Year's
I like to go to parties where I know everyone. How are you going to have fun with people you don't know?,Mary-Kate Olsen,New Year's
My parents used to throw great New Year's Eve parties. They invited such an eclectic mix of showbiz people. All those cool people were always hanging out at our apartment.,Ben Stiller,New Year's
