quotes,authors,categories
Those who make peaceful revolution impossible will make violent revolution inevitable.,John F. Kennedy,Peace
Peace and justice are two sides of the same coin.,Dwight D. Eisenhower,Peace
People sleep peaceably in their beds at night only because rough men stand ready to do violence on their behalf.,George Orwell,Peace
Peace cannot be kept by force; it can only be achieved by understanding.,Albert Einstein,Peace
"I prefer peace. But if trouble must come, let it come in my time, so that my children can live in peace.",Thomas Paine,Peace
"Peace is not absence of conflict, it is the ability to handle conflict by peaceful means.",Ronald Reagan,Peace
Peace comes from within. Do not seek it without.,Buddha,Peace
"If we have no peace, it is because we have forgotten that we belong to each other.",Mother Teresa,Peace
"Never be in a hurry; do everything quietly and in a calm spirit. Do not lose your inner peace for anything whatsoever, even if your whole world seems upset.",Saint Francis de Sales,Peace
"God cannot give us a happiness and peace apart from Himself, because it is not there. There is no such thing.",C. S. Lewis,Peace
An eye for an eye only ends up making the whole world blind.,Mahatma Gandhi,Peace
You cannot shake hands with a clenched fist.,Indira Gandhi,Peace
"Lord, make me an instrument of thy peace. Where there is hatred, let me sow love.",Francis of Assisi,Peace
I believe in the religion of Islam. I believe in Allah and peace.,Muhammad Ali,Peace
Peace is a journey of a thousand miles and it must be taken one step at a time.,Lyndon B. Johnson,Peace
We make war that we may live in peace.,Aristotle,Peace
"Let there be work, bread, water and salt for all.",Nelson Mandela,Peace
"Pursue some path, however narrow and crooked, in which you can walk with love and reverence.",Henry David Thoreau,Peace
I took a deep breath and listened to the old bray of my heart. I am. I am. I am.,Sylvia Plath,Peace
We can never obtain peace in the outer world until we make peace with ourselves.,Dalai Lama,Peace
I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,"Martin Luther King, Jr.",Peace
"Harmony makes small things grow, lack of it makes great things decay.",Sallust,Peace
You cannot find peace by avoiding life.,Virginia Woolf,Peace
Nowhere can man find a quieter or more untroubled retreat than in his own soul.,Marcus Aurelius,Peace
