quotes,authors,categories
Poetry is when an emotion has found its thought and the thought has found words.,Robert Frost,Poetry
"Painting is silent poetry, and poetry is painting that speaks.",Plutarch,Poetry
"Poetry is an echo, asking a shadow to dance.",Carl Sandburg,Poetry
Genuine poetry can communicate before it is understood.,T. S. Eliot,Poetry
"Poetry is a deal of joy and pain and wonder, with a dash of the dictionary.",Khalil Gibran,Poetry
"Poetry is thoughts that breathe, and words that burn.",Thomas Gray,Poetry
"When power leads man toward arrogance, poetry reminds him of his limitations. When power narrows the area of man's concern, poetry reminds him of the richness and diversity of existence. When power corrupts, poetry cleanses.",John F. Kennedy,Poetry
What is a poet? An unhappy person who conceals profound anguish in his heart but whose lips are so formed that as sighs and cries pass over them they sound like beautiful music.,Soren Kierkegaard,Poetry
Poetry is the spontaneous overflow of powerful feelings: it takes its origin from emotion recollected in tranquility.,William Wordsworth,Poetry
"A poem is never finished, only abandoned.",Paul Valery,Poetry
"Poetry is just the evidence of life. If your life is burning well, poetry is just the ash.",Leonard Cohen,Poetry
"Poetry is not only dream and vision; it is the skeleton architecture of our lives. It lays the foundations for a future of change, a bridge across our fears of what has never been before.",Audre Lorde,Poetry
Poetry is a mirror which makes beautiful that which is distorted.,Percy Bysshe Shelley,Poetry
"Always be a poet, even in prose.",Charles Baudelaire,Poetry
"If your daily life seems poor, do not blame it; blame yourself that you are not poet enough to call forth its riches; for the Creator, there is no poverty.",Rainer Maria Rilke,Poetry
I was reading the dictionary. I thought it was a poem about everything.,Steven Wright,Poetry
Poetry is language at its most distilled and most powerful.,Rita Dove,Poetry
I consider myself a poet first and a musician second. I live like a poet and I'll die like a poet.,Bob Dylan,Poetry
The crown of literature is poetry.,W. Somerset Maugham,Poetry
"I decided that it was not wisdom that enabled poets to write their poetry, but a kind of instinct or inspiration, such as you find in seers and prophets who deliver all their sublime messages without knowing in the least what they mean.",Socrates,Poetry
Poetry is the one place where people can speak their original human mind. It is the outlet for people to say in public what is known in private.,Allen Ginsberg,Poetry
The poets have been mysteriously silent on the subject of cheese.,Gilbert K. Chesterton,Poetry
"In science one tries to tell people, in such a way as to be understood by everyone, something that no one ever knew before. But in poetry, it's the exact opposite.",Paul Dirac,Poetry
Poetry is nearer to vital truth than history.,Plato,Poetry
Poetry is the revelation of a feeling that the poet believes to be interior and personal which the reader recognizes as his own.,Salvatore Quasimodo,Poetry
"If you cannot be a poet, be the poem.",David Carradine,Poetry
Poetry: the best words in the best order.,Samuel Taylor Coleridge,Poetry
To read a poem is to hear it with our eyes; to hear it is to see it with our ears.,Octavio Paz,Poetry
A poet can survive everything but a misprint.,Oscar Wilde,Poetry
You will find poetry nowhere unless you bring some of it with you.,Joseph Joubert,Poetry
"A poet's work is to name the unnameable, to point at frauds, to take sides, start arguments, shape the world, and stop it going to sleep.",Salman Rushdie,Poetry
"A poet is, before anything else, a person who is passionately in love with language.",W. H. Auden,Poetry
Poetry heals the wounds inflicted by reason.,Novalis,Poetry
"Poetry is plucking at the heartstrings, and making music with them.",Dennis Gabor,Poetry
Poetry is all that is worth remembering in life.,William Hazlitt,Poetry
"Poetry is finer and more philosophical than history; for poetry expresses the universal, and history only the particular.",Aristotle,Poetry
Poetry is the art of creating imaginary gardens with real toads.,Marianne Moore,Poetry
"If my poetry aims to achieve anything, it's to deliver people from the limited ways in which they see and feel.",Jim Morrison,Poetry
God is the perfect poet.,Robert Browning,Poetry
One merit of poetry few persons will deny: it says more and in fewer words than prose.,Voltaire,Poetry
"Breathe-in experience, breathe-out poetry.",Muriel Rukeyser,Poetry
"I have nothing to say, I am saying it, and that is poetry.",John Cage,Poetry
"When it comes to atoms, language can be used only as in poetry. The poet, too, is not nearly so concerned with describing facts as with creating images.",Niels Bohr,Poetry
"Poetry, even when apparently most fantastic, is always a revolt against artifice, a revolt, in a sense, against actuality.",James Joyce,Poetry
No poems can please for long or live that are written by water drinkers.,Horace,Poetry
Poetry is an orphan of silence. The words never quite equal the experience behind them.,Charles Simic,Poetry
The moment of change is the only poem.,Adrienne Rich,Poetry
We all write poems; it is simply that poets are the ones who write in words.,John Fowles,Poetry
"He who draws noble delights from sentiments of poetry is a true poet, though he has never written a line in all his life.",George Sand,Poetry
Poetry is the art of uniting pleasure with truth.,Samuel Johnson,Poetry
Reality only reveals itself when it is illuminated by a ray of poetry.,Georges Braque,Poetry
"Poetry is not a turning loose of emotion, but an escape from emotion; it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.",T. S. Eliot,Poetry
A true poet does not bother to be poetical. Nor does a nursery gardener scent his roses.,Jean Cocteau,Poetry
Poetry is the mother-tongue of the human race.,Johann Georg Hamann,Poetry
"Poetry is ordinary language raised to the Nth power. Poetry is boned with ideas, nerved and blooded with emotions, all held together by the delicate, tough skin of words.",Paul Engle,Poetry
"Poetry is the opening and closing of a door, leaving those who look through to guess about what is seen during the moment.",Carl Sandburg,Poetry
You don't have to suffer to be a poet; adolescence is enough suffering for anyone.,John Ciardi,Poetry
Publishing a volume of verse is like dropping a rose petal down the Grand Canyon and waiting for the echo.,Don Marquis,Poetry
'Therefore' is a word the poet must not know.,Andre Gide,Poetry
A poem is true if it hangs together. Information points to something else. A poem points to nothing but itself.,E. M. Forster,Poetry
"There's no money in poetry, but then there's no poetry in money, either.",Robert Graves,Poetry
"I intended an Ode, And it turned to a Sonnet.",Henry Austin Dobson,Poetry
"Poetry should surprise by a fine excess and not by singularity, it should strike the reader as a wording of his own highest thoughts, and appear almost a remembrance.",John Keats,Poetry
Poetry is the deification of reality.,Edith Sitwell,Poetry
