quotes,authors,categories
Mastering others is strength. Mastering yourself is true power.,Lao Tzu,Power
"Knowledge will give you power, but character respect.",Bruce Lee,Power
"The greater the power, the more dangerous the abuse.",Edmund Burke,Power
"Personality has power to uplift, power to depress, power to curse, and power to bless.",Paul P. Harris,Power
Nothing strengthens authority so much as silence.,Leonardo da Vinci,Power
The most common way people give up their power is by thinking they don't have any.,Alice Walker,Power
Never underestimate the power of human stupidity.,Robert A. Heinlein,Power
Power is of two kinds. One is obtained by the fear of punishment and the other by acts of love. Power based on love is a thousand times more effective and permanent then the one derived from fear of punishment.,Mahatma Gandhi,Power
"Power is given only to those who dare to lower themselves and pick it up. Only one thing matters, one thing; to be able to dare!",Fyodor Dostoevsky,Power
"Power is like being a lady... if you have to tell people you are, you aren't.",Margaret Thatcher,Power
Truth is powerful and it prevails.,Sojourner Truth,Power
Clothes make the man. Naked people have little or no influence on society.,Mark Twain,Power
All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.,Friedrich Nietzsche,Power
Never allow a person to tell you no who doesn't have the power to say yes.,Eleanor Roosevelt,Power
Power tends to corrupt and absolute power corrupts absolutely.,John Dalberg-Acton,Power
He who wishes to be obeyed must know how to command.,Niccolo Machiavelli,Power
Knowledge is power.,Francis Bacon,Power
"The greatest power is not money power, but political power.",Walter Annenberg,Power
Power concedes nothing without a demand. It never did and it never will.,Frederick Douglass,Power
The only way to predict the future is to have power to shape the future.,Eric Hoffer,Power
"Self-reverence, self-knowledge, self-control; these three alone lead life to sovereign power.",Alfred Lord Tennyson,Power
Creativity is the power to connect the seemingly unconnected.,William Plomer,Power
"Because power corrupts, society's demands for moral authority and character increase as the importance of the position increases.",John Adams,Power
Power is always dangerous. Power attracts the worst and corrupts the best.,Edward Abbey,Power
All the forces in the world are not so powerful as an idea whose time has come.,Victor Hugo,Power
"Power is not an institution, and not a structure; neither is it a certain strength we are endowed with; it is the name that one attributes to a complex strategical situation in a particular society.",Michel Foucault,Power
A crown is merely a hat that lets the rain in.,Frederick the Great,Power
Power without a nation's confidence is nothing.,Catherine the Great,Power
Force always attracts men of low morality.,Albert Einstein,Power
The power to question is the basis of all human progress.,Indira Gandhi,Power
Few men have virtue to withstand the highest bidder.,George Washington,Power
"Justice and power must be brought together, so that whatever is just may be powerful, and whatever is powerful may be just.",Blaise Pascal,Power
"Money is power, and in that government which pays all the public officers of the states will all political power be substantially concentrated.",Andrew Jackson,Power
Silence is the ultimate weapon of power.,Charles de Gaulle,Power
Power has only one duty - to secure the social welfare of the People.,Benjamin Disraeli,Power
Character is power.,Booker T. Washington,Power
"Power doesn't corrupt people, people corrupt power.",William Gaddis,Power
Will power is to the mind like a strong blind man who carries on his shoulders a lame man who can see.,Arthur Schopenhauer,Power
"If you realized how powerful your thoughts are, you would never think a negative thought.",Peace Pilgrim,Power
"Power is no blessing in itself, except when it is used to protect the innocent.",Jonathan Swift,Power
The secret of my influence has always been that it remained secret.,Salvador Dali,Power
"No one is in control of your happiness but you; therefore, you have the power to change anything about yourself or your life that you want to change.",Barbara De Angelis,Power
There is no force so powerful as an idea whose time has come.,Everett Dirksen,Power
"You only have power over people so long as you don't take everything away from them. But when you've robbed a man of everything, he's no longer in your power - he's free again.",Aleksandr Solzhenitsyn,Power
Most people can bear adversity; but if you wish to know what a man really is give him power.,Robert Green Ingersoll,Power
Most powerful is he who has himself in his own power.,Lucius Annaeus Seneca,Power
Power is the great aphrodisiac.,Henry Kissinger,Power
Whoever is new to power is always harsh.,Aeschylus,Power
Power ought to serve as a check to power.,Montesquieu,Power
It is folly for a man to pray to the gods for that which he has the power to obtain by himself.,Epicurus,Power
The greatest power is often simple patience.,E. Joseph Cossman,Power
An alliance with a powerful person is never safe.,Phaedrus,Power
There is no meaning to life except the meaning man gives his life by the unfolding of his powers.,Erich Fromm,Power
"Experience hath shewn, that even under the best forms of government those entrusted with power have, in time, and by slow operations, perverted it into tyranny.",Thomas Jefferson,Power
"When the whole world is silent, even one voice becomes powerful.",Malala Yousafzai,Power
The way to have power is to take it.,Boss Tweed,Power
Calmness is the cradle of power.,Josiah Gilbert Holland,Power
Do not pray for tasks equal to your powers. Pray for powers equal to your tasks.,Phillips Brooks,Power
"Never go backward. Attempt, and do it with all your might. Determination is power.",Charles Simmons,Power
Power is dangerous unless you have humility.,Richard J. Daley,Power
"Women have to harness their power - its absolutely true. It's just learning not to take the first no. And if you can't go straight ahead, you go around the corner.",Cher,Power
Power and position often make a man trifle with the truth.,George A. Smith,Power
Power is dangerous unless you have humility.,Richard J. Daley,Power
No man has received from nature the right to command his fellow human beings.,Denis Diderot,Power
I was now resolved to do everything in my power to defeat the system.,Oskar Schindler,Power
"Whatever my aims and agendas were, I never asked for power.",Benazir Bhutto,Power
Knowledge is the most democratic source of power.,Alvin Toffler,Power
"The rules have changed. True power is held by the person who possesses the largest bookshelf, not gun cabinet or wallet.",Anthony J. D'Angelo,Power
Every crisis offers you extra desired power.,William Moulton Marston,Power
Ambition is the immoderate desire for power.,Baruch Spinoza,Power
My relationship to power and authority is that I'm all for it. People need somebody to watch over them. Ninety-five percent of the people in the world need to be told what to do and how to behave.,Arnold Schwarzenegger,Power
"Question: Why are we Masters of our Fate, the captains of our souls? Because we have the power to control our thoughts, our attitudes. That is why many people live in the withering negative world. That is why many people live in the Positive Faith world.",Alfred A. Montapert,Power
Prestige is the shadow of money and power.,C. Wright Mills,Power
People who are powerless make an open theater of violence.,Don DeLillo,Power
Immense power is acquired by assuring yourself in your secret reveries that you were born to control affairs.,Andrew Carnegie,Power
"Sir, I am no sycophant or worshipper of power anywhere.",Benjamin F. Wade,Power
Never forget that the most powerful force on earth is love.,Nelson Rockefeller,Power
"There are two ways of attaining an important end, force and perseverance; the silent power of the latter grows irresistible with time.",Sophie Swetchine,Power
I cured with the power that came through me.,Black Elk,Power
What is genius but the power of expressing a new individuality?,Elizabeth Barrett Browning,Power
Authority must be respected and chosen wisely.,Lech Walesa,Power
Moral power is probably best when it is not used. The less you use it the more you have.,Andrew Young,Power
Will power is only the tensile strength of one's own disposition. One cannot increase it by a single ounce.,Cesare Pavese,Power
"When you start to develop your powers of empathy and imagination, the whole world opens up to you.",Susan Sarandon,Power
There is no force so powerful as an idea whose time has come.,Everett Dirksen,Power
"Sooner or later, man has always had to decide whether he worships his own power or the power of God.",Arnold J. Toynbee,Power
The real problem is that the way that power is given out in our society pits us against each other.,Anita Hill,Power
Order is power.,Henri Frederic Amiel,Power
"In Europe first and now in America, elected men have taken it upon themselves to indebt their people to create an atmosphere of dependency. And why? For their own selfish need to increase their own personal power.",Pope Francis,Power
Each underestimates her own power and overestimates the other's.,Deborah Tannen,Power
"No matter what has happened, you too have the power to enjoy yourself.",Allen Klein,Power
"Not necessity, not desire - no, the love of power is the demon of men. Let them have everything - health, food, a place to live, entertainment - they are and remain unhappy and low-spirited: for the demon waits and waits and will be satisfied.",Friedrich Nietzsche,Power
A true king is neither husband nor father; he considers his throne and nothing else.,Pierre Corneille,Power
"What are kings, when regiment is gone, but perfect shadows in a sunshine day?",Christopher Marlowe,Power
"Power, after love, is the first source of happiness.",Stendhal,Power
The advertisers who believe in the selling power of jingles have never had to sell anything.,David Ogilvy,Power
America has a critical role to play as the most powerful member of the world community.,Adam Schiff,Power
