quotes,authors,categories
"When someone shows you who they are, believe them the first time.",Maya Angelou,Relationship
Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,Bob Marley,Relationship
How people treat you is their karma; how you react is yours.,Wayne Dyer,Relationship
Never above you. Never below you. Always beside you.,Walter Winchell,Relationship
"If you love someone, set them free. If they come back they're yours; if they don't they never were.",Richard Bach,Relationship
"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship.",Oscar Wilde,Relationship
"The beginning of love is to let those we love be perfectly themselves, and not to twist them to fit our own image. Otherwise we love only the reflection of ourselves we find in them.",Thomas Merton,Relationship
We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity.,Barbara De Angelis,Relationship
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,Relationship
But let there be spaces in your togetherness and let the winds of the heavens dance between you. Love one another but make not a bond of love: let it rather be a moving sea between the shores of your souls.,Khalil Gibran,Relationship
"There is no love without forgiveness, and there is no forgiveness without love.",Bryant H. McGill,Relationship
Falling in love and having a relationship are two different things.,Keanu Reeves,Relationship
You have people come into your life shockingly and surprisingly. You have losses that you never thought you'd experience. You have rejection and you have learn how to deal with that and how to get up the next day and go on with it.,Taylor Swift,Relationship
"Treasure your relationships, not your possessions.",Anthony J. D'Angelo,Relationship
"If civilization is to survive, we must cultivate the science of human relationships - the ability of all peoples, of all kinds, to live together, in the same world at peace.",Franklin D. Roosevelt,Relationship
"Absence diminishes mediocre passions and increases great ones, as the wind extinguishes candles and fans fires.",Francois de La Rochefoucauld,Relationship
I think it matters whether someone has a good heart.,Elon Musk,Relationship
"I believe that two people are connected at the heart, and it doesn't matter what you do, or who you are or where you live; there are no boundaries or barriers if two people are destined to be together.",Julia Roberts,Relationship
Each relationship nurtures a strength or weakness within you.,Mike Murdock,Relationship
"When a woman is talking to you, listen to what she says with her eyes.",Victor Hugo,Relationship
"We've got this gift of love, but love is like a precious plant. You can't just accept it and leave it in the cupboard or just think it's going to get on by itself. You've got to keep watering it. You've got to really look after it and nurture it.",John Lennon,Relationship
Assumptions are the termites of relationships.,Henry Winkler,Relationship
A person isn't who they are during the last conversation you had with them - they're who they've been throughout your whole relationship.,Rainer Maria Rilke,Relationship
"Love is never lost. If not reciprocated, it will flow back and soften and purify the heart.",Washington Irving,Relationship
"We are afraid to care too much, for fear that the other person does not care at all.",Eleanor Roosevelt,Relationship
"It is not our purpose to become each other; it is to recognize each other, to learn to see the other and honor him for what he is.",Hermann Hesse,Relationship
It isn't necessary to have relatives in Kansas City in order to be unhappy.,Groucho Marx,Relationship
I was born when you kissed me. I died when you left me. I lived a few weeks while you loved me.,Humphrey Bogart,Relationship
Adapt yourself to the things among which your lot has been cast and love sincerely the fellow creatures with whom destiny has ordained that you shall live.,Marcus Aurelius,Relationship
"Truth is, I'll never know all there is to know about you just as you will never know all there is to know about me. Humans are by nature too complicated to be understood fully. So, we can choose either to approach our fellow human beings with suspicion or to approach them with an open mind, a dash of optimism and a great deal of candour.",Tom Hanks,Relationship
The relationship between husband and wife should be one of closest friends.,B. R. Ambedkar,Relationship
Nothing is perfect. Life is messy. Relationships are complex. Outcomes are uncertain. People are irrational.,Hugh Mackay,Relationship
"Flatter me, and I may not believe you. Criticize me, and I may not like you. Ignore me, and I may not forgive you. Encourage me, and I will not forget you. Love me and I may be forced to love you.",William Arthur Ward,Relationship
"The heart of another is a dark forest, always, no matter how close it has been to one's own.",Willa Cather,Relationship
"I, with a deeper instinct, choose a man who compels my strength, who makes enormous demands on me, who does not doubt my courage or my toughness, who does not believe me naive or innocent, who has the courage to treat me like a woman.",Anais Nin,Relationship
We can improve our relationships with others by leaps and bounds if we become encouragers instead of critics.,Joyce Meyer,Relationship
"Intense love does not measure, it just gives.",Mother Teresa,Relationship
People change and forget to tell each other.,Lillian Hellman,Relationship
"The one who loves the least, controls the relationship.",Robert Anthony,Relationship
"Love does not claim possession, but gives freedom.",Rabindranath Tagore,Relationship
"Find joy in everything you choose to do. Every job, relationship, home... it's your responsibility to love it, or change it.",Chuck Palahniuk,Relationship
"Kindness in women, not their beauteous looks, shall win my love.",William Shakespeare,Relationship
"If so many men, so many minds, certainly so many hearts, so many kinds of love.",Leo Tolstoy,Relationship
Sometimes I wonder if men and women really suit each other. Perhaps they should live next door and just visit now and then.,Katharine Hepburn,Relationship
"In human relationships, kindness and lies are worth a thousand truths.",Graham Greene,Relationship
"Be honest, brutally honest. That is what's going to maintain relationships.",Lauryn Hill,Relationship
"What love we've given, we'll have forever. What love we fail to give, will be lost for all eternity.",Leo Buscaglia,Relationship
God is more interested in your future and your relationships than you are.,Billy Graham,Relationship
Who cares about the clouds when we're together? Just sing a song and bring the sunny weather.,Dale Evans,Relationship
"You can never control who you fall in love with, even when you're in the most sad, confused time of your life. You don't fall in love with people because they're fun. It just happens.",Kirsten Dunst,Relationship
"I am convinced that material things can contribute a lot to making one's life pleasant, but, basically, if you do not have very good friends and relatives who matter to you, life will be really empty and sad and material things cease to be important.",David Rockefeller,Relationship
Girls we love for what they are; young men for what they promise to be.,Johann Wolfgang von Goethe,Relationship
"Once a woman has forgiven her man, she must not reheat his sins for breakfast.",Marlene Dietrich,Relationship
What does it matter how many lovers you have if none of them gives you the universe?,Jacques Lacan,Relationship
The heart is forever inexperienced.,Henry David Thoreau,Relationship
There is not love where there is no will.,Indira Gandhi,Relationship
"The most important things to do in the world are to get something to eat, something to drink and somebody to love you.",Brendan Behan,Relationship
Love comes when manipulation stops; when you think more about the other person than about his or her reactions to you. When you dare to reveal yourself fully. When you dare to be vulnerable.,Joyce Brothers,Relationship
To catch a husband is an art; to hold him is a job.,Simone de Beauvoir,Relationship
"Friendship may, and often does, grow into love, but love never subsides into friendship.",Lord Byron,Relationship
"We must learn to regard people less in light of what they do or omit to do, and more in the light of what they suffer.",Dietrich Bonhoeffer,Relationship
To catch a husband is an art; to hold him is a job.,Simone de Beauvoir,Relationship
Remember that no relationship is a total waste of time. You can always learn something about yourself.,"H. Jackson Brown, Jr.",Relationship
"It takes one person to forgive, it takes two people to be reunited.",Lewis B. Smedes,Relationship
"I love you, and because I love you, I would sooner have you hate me for telling you the truth than adore me for telling you lies.",Pietro Aretino,Relationship
"Courage means to keep working a relationship, to continue seeking solutions to difficult problems, and to stay focused during stressful periods.",Denis Waitley,Relationship
He who lives in our mind is near though he may actually be far away; but he who is not in our heart is far though he may really be nearby.,Chanakya,Relationship
"Some think love can be measured by the amount of butterflies in their tummy. Others think love can be measured in bunches of flowers, or by using the words 'for ever.' But love can only truly be measured by actions. It can be a small thing, such as peeling an orange for a person you love because you know they don't like doing it.",Marian Keyes,Relationship
Everybody needs somebody.,Mahalia Jackson,Relationship
