quotes,authors,categories
"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!",Dita Von Teese,Sad
"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.",Washington Irving,Sad
"For all sad words of tongue and pen, The saddest are these, 'It might have been'.",John Greenleaf Whittier,Sad
Don't grieve. Anything you lose comes round in another form.,Rumi,Sad
Your pain is the breaking of the shell that encloses your understanding.,Khalil Gibran,Sad
"We look before and after, And pine for what is not; Our sincerest laughter With some pain is fraught; Our sweetest songs are those that tell of saddest thought.",Percy Bysshe Shelley,Sad
Tears come from the heart and not from the brain.,Leonardo da Vinci,Sad
"Worry never robs tomorrow of its sorrow, it only saps today of its joy.",Leo Buscaglia,Sad
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,Henry Wadsworth Longfellow,Sad
The word 'happy' would lose its meaning if it were not balanced by sadness.,Carl Jung,Sad
"Make the most of your regrets; never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.",Henry David Thoreau,Sad
"Participate joyfully in the sorrows of the world. We cannot cure the world of sorrows, but we can choose to live in joy.",Joseph Campbell,Sad
A sad soul can kill quicker than a germ.,John Steinbeck,Sad
"There is no despair so absolute as that which comes with the first moments of our first great sorrow, when we have not yet known what it is to have suffered and be healed, to have despaired and have recovered hope.",George Eliot,Sad
Nothing is more sad than the death of an illusion.,Arthur Koestler,Sad
The walls we build around us to keep sadness out also keeps out the joy.,Jim Rohn,Sad
Depression is the inability to construct a future.,Rollo May,Sad
"Affliction comes to us, not to make us sad but sober; not to make us sorry but wise.",H. G. Wells,Sad
"Every life has a measure of sorrow, and sometimes this is what awakens us.",Steven Tyler,Sad
To have felt too much is to end in feeling nothing.,Dorothy Thompson,Sad
Sadness flies away on the wings of time.,Jean de La Fontaine,Sad
"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water.",Christopher Morley,Sad
"Every human walks around with a certain kind of sadness. They may not wear it on their sleeves, but it's there if you look deep.",Taraji P. Henson,Sad
"The tragedy of life is in what dies inside a man while he lives - the death of genuine feeling, the death of inspired response, the awareness that makes it possible to feel the pain or the glory of other men in yourself.",Norman Cousins,Sad
It doesn't hurt to feel sad from time to time.,Willie Nelson,Sad
"Those who don't know how to weep with their whole heart, don't know how to laugh either.",Golda Meir,Sad
It is sadder to find the past again and find it inadequate to the present than it is to have it elude you and remain forever a harmonious conception of memory.,F. Scott Fitzgerald,Sad
One must not let oneself be overwhelmed by sadness.,Jackie Kennedy,Sad
The sad truth is that most evil is done by people who never make up their minds to be good or evil.,Hannah Arendt,Sad
"Oh, I am very weary, Though tears no longer flow; My eyes are tired of weeping, My heart is sick of woe.",Anne Bronte,Sad
"If you don't know about pain and trouble, you're in sad shape. They make you appreciate life.",Evel Knievel,Sad
A teardrop on earth summons the King of heaven.,Charles R. Swindoll,Sad
"The rose and the thorn, and sorrow and gladness are linked together.",Saadi,Sad
There is no sadder sight than a young pessimist.,Mark Twain,Sad
The keenest sorrow is to recognize ourselves as the sole cause of all our adversities.,Sophocles,Sad
"For I have learned to look on nature, not as in the hour of thoughtless youth, but hearing oftentimes the still, sad music of humanity.",William Wordsworth,Sad
I get mad. I get sad. I have all those emotions. But I just like to keep them to myself. I don't think my fans need to be bothered with if I'm mad or sad about something. I should just be concerned that they are keeping up with my music or I'm making them happy with my show.,Demi Lovato,Sad
"Above all things let us never forget that mankind constitutes one great brotherhood; all born to encounter suffering and sorrow, and therefore bound to sympathize with each other.",Albert Pike,Sad
The sad truth is that opportunity doesn't knock twice.,Gloria Estefan,Sad
"In this world, full often, our joys are only the tender shadows which our sorrows cast.",Henry Ward Beecher,Sad
"I seldom think about my limitations, and they never make me sad. Perhaps there is just a touch of yearning at times; but it is vague, like a breeze among flowers.",Helen Keller,Sad
"First, accept sadness. Realize that without losing, winning isn't so great.",Alyssa Milano,Sad
Sadness is also a kind of defence.,Ivo Andric,Sad
Proud people breed sad sorrows for themselves.,Emily Bronte,Sad
