quotes,authors,categories
"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.",Michael Jordan,Sports
"Football is a simple game. Twenty-two men chase a ball for 90 minutes and at the end, the Germans always win.",Gary Lineker,Sports
"Show me a good loser, and I'll show you a loser.",Vince Lombardi,Sports
"When the going gets weird, the weird turn pro.",Hunter S. Thompson,Sports
People ask me what I do in winter when there's no baseball. I'll tell you what I do. I stare out the window and wait for spring.,Rogers Hornsby,Sports
Golf is a good walk spoiled.,Mark Twain,Sports
Many men go fishing all of their lives without knowing that it is not fish they are after.,Henry David Thoreau,Sports
"I went to a fight the other night, and a hockey game broke out.",Rodney Dangerfield,Sports
"The way a team plays as a whole determines its success. You may have the greatest bunch of individual stars in the world, but if they don't play together, the club won't be worth a dime.",Babe Ruth,Sports
"Gold medals aren't really made of gold. They're made of sweat, determination, and a hard-to-find alloy called guts.",Dan Gable,Sports
Success is where preparation and opportunity meet.,Bobby Unser,Sports
A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.,Wayne Gretzky,Sports
"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.",Bob Feller,Sports
Some people are born on third base and go through life thinking they hit a triple.,Barry Switzer,Sports
Don't look back. Something might be gaining on you.,Satchel Paige,Sports
You can't win unless you learn how to lose.,Kareem Abdul-Jabbar,Sports
Champions keep playing until they get it right.,Billie Jean King,Sports
"You always get a special kick on opening day, no matter how many you go through. You look forward to it like a birthday party when you're a kid. You think something wonderful is going to happen.",Joe DiMaggio,Sports
Adversity causes some men to break; others to break records.,William Arthur Ward,Sports
I want to rip out his heart and feed it to Lennox Lewis. I want to kill people. I want to rip their stomachs out and eat their children.,Mike Tyson,Sports
"My motto was always to keep swinging. Whether I was in a slump or feeling badly or having trouble off the field, the only thing to do was keep swinging.",Hank Aaron,Sports
"I am building a fire, and everyday I train, I add more fuel. At just the right moment, I light the match.",Mia Hamm,Sports
A lifetime of training for just ten seconds.,Jesse Owens,Sports
"It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.",Muhammad Ali,Sports
"Serious sport has nothing to do with fair play. It is bound up with hatred, jealousy, boastfulness, disregard of all rules and sadistic pleasure in witnessing violence. In other words, it is war minus the shooting.",George Orwell,Sports
Half the lies they tell about me aren't true.,Yogi Berra,Sports
"If a tie is like kissing your sister, losing is like kissing you grandmother with her teeth out.",George Brett,Sports
One man practicing sportsmanship is far better than a hundred teaching it.,Knute Rockne,Sports
