quotes,authors,categories
It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,Albert Einstein,Teacher
"I have learned silence from the talkative, toleration from the intolerant, and kindness from the unkind; yet, strange, I am ungrateful to those teachers.",Khalil Gibran,Teacher
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.",Confucius,Teacher
"One looks back with appreciation to the brilliant teachers, but with gratitude to those who touched our human feelings. The curriculum is so much necessary raw material, but warmth is the vital element for the growing plant and for the soul of the child.",Carl Jung,Teacher
A teacher affects eternity; he can never tell where his influence stops.,Henry Adams,Teacher
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",Brad Henry,Teacher
"I am indebted to my father for living, but to my teacher for living well.",Alexander the Great,Teacher
"You can get help from teachers, but you are going to have to learn a lot by yourself, sitting alone in a room.",Dr. Seuss,Teacher
I like a teacher who gives you something to take home to think about besides homework.,Lily Tomlin,Teacher
"None of us got where we are solely by pulling ourselves up by our bootstraps. We got here because somebody - a parent, a teacher, an Ivy League crony or a few nuns - bent down and helped us pick up our boots.",Thurgood Marshall,Teacher
I touch the future. I teach.,Christa McAuliffe,Teacher
"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul.",Swami Vivekananda,Teacher
I have come to believe that a great teacher is a great artist and that there are as few as there are any other great artists. Teaching might even be the greatest of the arts since the medium is the human mind and spirit.,John Steinbeck,Teacher
"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.",Solomon Ortiz,Teacher
"A good teacher, like a good entertainer first must hold his audience's attention, then he can teach his lesson.",John Henrik Clarke,Teacher
"The task of the modern educator is not to cut down jungles, but to irrigate deserts.",C. S. Lewis,Teacher
Good teachers know how to bring out the best in students.,Charles Kuralt,Teacher
"Failure is a great teacher, and I think when you make mistakes and you recover from them and you treat them as valuable learning experiences, then you've got something to share.",Steve Harvey,Teacher
"You never stop learning. If you have a teacher, you never stop being a student.",Elisabeth Rohm,Teacher
Your best teacher is your last mistake.,Ralph Nader,Teacher
The art of teaching is the art of assisting discovery.,Mark Van Doren,Teacher
Most of us end up with no more than five or six people who remember us. Teachers have thousands of people who remember them for the rest of their lives.,Andy Rooney,Teacher
"There are two kinds of teachers: the kind that fill you with so much quail shot that you can't move, and the kind that just gives you a little prod behind and you jump to the skies.",Robert Frost,Teacher
Those who have no record of what their forebears have accomplished lose the inspiration which comes from the teaching of biography and history.,Carter G. Woodson,Teacher
"The dream begins with a teacher who believes in you, who tugs and pushes and leads you to the next plateau, sometimes poking you with a sharp stick called 'truth'.",Dan Rather,Teacher
The whole art of teaching is only the art of awakening the natural curiosity of young minds for the purpose of satisfying it afterwards.,Anatole France,Teacher
History is Philosophy teaching by example.,Thucydides,Teacher
