quotes,authors,categories
"Love all, trust a few, do wrong to none.",William Shakespeare,Trust
Whoever is careless with the truth in small matters cannot be trusted with important matters.,Albert Einstein,Trust
"I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the seashore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.",Isaac Newton,Trust
The trust of the innocent is the liar's most useful tool.,Stephen King,Trust
"Trust yourself. Create the kind of self that you will be happy to live with all your life. Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.",Golda Meir,Trust
Trust is the glue of life. It's the most essential ingredient in effective communication. It's the foundational principle that holds all relationships.,Stephen Covey,Trust
Never be afraid to trust an unknown future to a known God.,Corrie Ten Boom,Trust
"Trust, but verify.",Ronald Reagan,Trust
To be trusted is a greater compliment than being loved.,George MacDonald,Trust
Trust is hard to come by. That's why my circle is small and tight. I'm kind of funny about making new friends.,Eminem,Trust
All I have seen teaches me to trust the creator for all I have not seen.,Ralph Waldo Emerson,Trust
Trust is built with consistency.,Lincoln Chafee,Trust
"He who does not trust enough, Will not be trusted.",Lao Tzu,Trust
"For every good reason there is to lie, there is a better reason to tell the truth.",Bo Bennett,Trust
A lie can travel half way around the world while the truth is putting on its shoes.,Charles Spurgeon,Trust
"You may be deceived if you trust too much, but you will live in torment if you don't trust enough.",Frank Crane,Trust
If the people cannot trust their government to do the job for which it exists - to protect them and to promote their common welfare - all else is lost.,Barack Obama,Trust
"Few things can help an individual more than to place responsibility on him, and to let him know that you trust him.",Booker T. Washington,Trust
"As soon as you trust yourself, you will know how to live.",Johann Wolfgang von Goethe,Trust
The toughest thing about the power of trust is that it's very difficult to build and very easy to destroy. The essence of trust building is to emphasize the similarities between you and the customer.,Thomas J. Watson,Trust
Trusting our intuition often saves us from disaster.,Anne Wilson Schaef,Trust
"Trust yourself, you know more than you think you do.",Benjamin Spock,Trust
I cannot trust a man to control others who cannot control himself.,Robert E. Lee,Trust
You must trust and believe in people or life becomes impossible.,Anton Chekhov,Trust
"Trust has to be earned, and should come only after the passage of time.",Arthur Ashe,Trust
Trust dies but mistrust blossoms.,Sophocles,Trust
Men trust their ears less than their eyes.,Herodotus,Trust
"I think a good friend, to me, is all about trust and loyalty. You don't ever want to second-guess whether you can tell your friend something.",Lauren Conrad,Trust
The most important lesson that I have learned is to trust God in every circumstance. Lots of times we go through different trials and following God's plan seems like it doesn't make any sense at all. God is always in control and he will never leave us.,Allyson Felix,Trust
"The more you trust your intuition, the more empowered you become, the stronger you become, and the happier you become.",Gisele Bundchen,Trust
"Sometimes it is said that man cannot be trusted with the government of himself. Can he, then be trusted with the government of others? Or have we found angels in the form of kings to govern him? Let history answer this question.",Thomas Jefferson,Trust
"Only trust thyself, and another shall not betray thee.",William Penn,Trust
"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",Hillary Clinton,Trust
"When I get logical, and I don't trust my instincts - that's when I get in trouble.",Angelina Jolie,Trust
Trust is the first step to love.,Munshi Premchand,Trust
"Although the life of a person is in a land full of thorns and weeds, there is always a space in which the good seed can grow. You have to trust God.",Pope Francis,Trust
"Trust your own instinct. Your mistakes might as well be your own, instead of someone else's.",Billy Wilder,Trust
Never trust anything that can think for itself if you can't see where it keeps its brain.,J. K. Rowling,Trust
I believe fundamental honesty is the keystone of business.,Harvey S. Firestone,Trust
Trust not too much to appearances.,Virgil,Trust
Someone who thinks the world is always cheating him is right. He is missing that wonderful feeling of trust in someone or something.,Eric Hoffer,Trust
"Trust everybody, but cut the cards.",Finley Peter Dunne,Trust
"Seize the day, and put the least possible trust in tomorrow.",Horace,Trust
"I felt I did trust in Christ, Christ alone for salvation, and an assurance was given me that he had taken away my sins, even mine, and saved me from the law of sin and death.",John Wesley,Trust
I'm a dirt person. I trust the dirt. I don't trust diamonds and gold.,Eartha Kitt,Trust
We must trust our own thinking. Trust where we're going. And get the job done.,Wilma Mankiller,Trust
"We're never so vulnerable than when we trust someone - but paradoxically, if we cannot trust, neither can we find love or joy.",Walter Anderson,Trust
Put more trust in nobility of character than in an oath.,Solon,Trust
"Never trust anyone who wants what you've got. Friend or no, envy is an overwhelming emotion.",Eubie Blake,Trust
"It is better to suffer wrong than to do it, and happier to be sometimes cheated than not to trust.",Samuel Johnson,Trust
You can't trust water: Even a straight stick turns crooked in it.,W. C. Fields,Trust
Trust should be the basis for all our moral training.,Robert Baden-Powell,Trust
"My trust in a higher power that wants me to survive and have love in my life, is what keeps me moving forward.",Kenny Loggins,Trust
I would rather trust a woman's instinct than a man's reason.,Stanley Baldwin,Trust
"Never trust a man, who when left alone with a tea cosey... Doesn't try it on.",Billy Connolly,Trust
"Depend upon yourself. Make your judgement trustworthy by trusting it. You can develop good judgement as you do the muscles of your body - by judicious, daily exercise. To be known as a man of sound judgement will be much in your favor.",Grantland Rice,Trust
Not everyone can be trusted. I think we all have to be very selective about the people we trust.,Shelley Long,Trust
The only way to make a man trustworthy is to trust him.,Henry L. Stimson,Trust
"A blessed thing it is for any man or woman to have a friend, one human soul whom we can trust utterly, who knows the best and worst of us, and who loves us in spite of all our faults.",Charles Kingsley,Trust
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,Trust
Learning to trust is one of life's most difficult tasks.,Isaac Watts,Trust
"When trust improves, the mood improves.",Fernando Flores,Trust
Those who trust to chance must abide by the results of chance.,Calvin Coolidge,Trust
"Trust is to human relationships what faith is to gospel living. It is the beginning place, the foundation upon which more can be built. Where trust is, love can flourish.",Barbara Smith,Trust
"If you have three people in your life that you can trust, you can consider yourself the luckiest person in the whole world.",Selena Gomez,Trust
"It is impossible to go through life without trust: that is to be imprisoned in the worst cell of all, oneself.",Graham Greene,Trust
Trusting your individual uniqueness challenges you to lay yourself open.,James Broughton,Trust
Whoever has trusted a woman has trusted deceivers.,Hesiod,Trust
"To persevere, trusting in what hopes he has, is courage in a man.",Euripides,Trust
