quotes,authors,categories
"Truth is strong, and sometime or other will prevail.",Mary Astell,Truth
"If you tell the truth, you don't have to remember anything.",Mark Twain,Truth
"Three things cannot be long hidden: the sun, the moon, and the truth.",Buddha,Truth
It is only with the heart that one can see rightly; what is essential is invisible to the eye.,Antoine de Saint-Exupery,Truth
A lie gets halfway around the world before the truth has a chance to get its pants on.,Winston Churchill,Truth
"Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.",Arthur Conan Doyle,Truth
"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.",Arthur Schopenhauer,Truth
"If you look for truth, you may find comfort in the end; if you look for comfort you will not get either comfort or truth only soft soap and wishful thinking to begin, and in the end, despair.",C. S. Lewis,Truth
"Rather than love, than money, than fame, give me truth.",Henry David Thoreau,Truth
"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.",Oscar Wilde,Truth
"I am the Way, the Truth, and the Life. No one comes to the Father except through me.",Jesus Christ,Truth
No legacy is so rich as honesty.,William Shakespeare,Truth
Truth will ultimately prevail where there is pains to bring it to light.,George Washington,Truth
Silence is the mother of truth.,Benjamin Disraeli,Truth
Honesty is the first chapter in the book of wisdom.,Thomas Jefferson,Truth
"We live in a fantasy world, a world of illusion. The great task in life is to find reality.",Iris Murdoch,Truth
"I believe that unarmed truth and unconditional love will have the final word in reality. This is why right, temporarily defeated, is stronger than evil triumphant.","Martin Luther King, Jr.",Truth
All truths are easy to understand once they are discovered; the point is to discover them.,Galileo Galilei,Truth
"Truth is like the sun. You can shut it out for a time, but it ain't goin' away.",Elvis Presley,Truth
"Even if you are a minority of one, the truth is the truth.",Mahatma Gandhi,Truth
"The truth will set you free, but first it will make you miserable.",James A. Garfield,Truth
"I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts.",Abraham Lincoln,Truth
In a time of universal deceit - telling the truth is a revolutionary act.,Unknown,Truth
A truth that's told with bad intent beats all the lies you can invent.,William Blake,Truth
"Rebellion without truth is like spring in a bleak, arid desert.",Khalil Gibran,Truth
The object of the superior man is truth.,Confucius,Truth
Half a truth is often a great lie.,Benjamin Franklin,Truth
If you do not tell the truth about yourself you cannot tell it about other people.,Virginia Woolf,Truth
I believe that it is better to tell the truth than a lie. I believe it is better to be free than to be a slave. And I believe it is better to know than to be ignorant.,H. L. Mencken,Truth
Betrayal is the only truth that sticks.,Arthur Miller,Truth
A dog barks when his master is attacked. I would be a coward if I saw that God's truth is attacked and yet would remain silent.,John Calvin,Truth
"Peace if possible, truth at all costs.",Martin Luther,Truth
"Truth can be stated in a thousand different ways, yet each one can be true.",Swami Vivekananda,Truth
A harmful truth is better than a useful lie.,Thomas Mann,Truth
Facts are stubborn things.,Ronald Reagan,Truth
"Only enemies speak the truth; friends and lovers lie endlessly, caught in the web of duty.",Stephen King,Truth
The absurd is the essential concept and the first truth.,Albert Camus,Truth
"The opposite of a fact is falsehood, but the opposite of one profound truth may very well be another profound truth.",Niels Bohr,Truth
The first reaction to truth is hatred.,Tertullian,Truth
The universe is transformation: life is opinion.,Marcus Aurelius,Truth
There are only two people who can tell you the truth about yourself - an enemy who has lost his temper and a friend who loves you dearly.,Antisthenes,Truth
Whatever satisfies the soul is truth.,Walt Whitman,Truth
Adversity is the first path to truth.,Lord Byron,Truth
"We swallow greedily any lie that flatters us, but we sip only little by little at a truth we find bitter.",Denis Diderot,Truth
The truth is of course is that there is no journey. We are arriving and departing all at the same time.,David Bowie,Truth
"Some people think that the truth can be hidden with a little cover-up and decoration. But as time goes by, what is true is revealed, and what is fake fades away.",Ismail Haniyeh,Truth
All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns.,Bruce Lee,Truth
Truth is so rare that it is delightful to tell it.,Emily Dickinson,Truth
I have a theory that the truth is never told during the nine-to-five hours.,Hunter S. Thompson,Truth
People will generally accept facts as truth only if the facts agree with what they already believe.,Andy Rooney,Truth
"The truth. It is a beautiful and terrible thing, and must therefore be treated with great caution.",J. K. Rowling,Truth
"Your problem is how you are going to spend this one odd and precious life you have been issued. Whether you're going to spend it trying to look good and creating the illusion that you have power over people and circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.",Anne Lamott,Truth
All great truths begin as blasphemies.,George Bernard Shaw,Truth
"It is always the best policy to speak the truth, unless, of course, you are an exceptionally good liar.",Jerome K. Jerome,Truth
Truth exists; only lies are invented.,Georges Braque,Truth
Sometimes the truth hurts. And sometimes it feels real good.,Henry Rollins,Truth
"By doubting we are led to question, by questioning we arrive at the truth.",Peter Abelard,Truth
Perhaps the truth depends on a walk around the lake.,Wallace Stevens,Truth
"Truth is tough. It will not break, like a bubble, at a touch; nay, you may kick it about all day like a football, and it will be round and full at evening.","Oliver Wendell Holmes, Sr.",Truth
"If you shut up truth, and bury it underground, it will but grow.",Emile Zola,Truth
The truth is more important than the facts.,Frank Lloyd Wright,Truth
A lie which is half a truth is ever the blackest of lies.,Alfred Lord Tennyson,Truth
All the truth in the world adds up to one big lie.,Bob Dylan,Truth
"I am bound to tell what I am told, but not in every case to believe it.",Herodotus,Truth
Learn what is true in order to do what is right.,Thomas Huxley,Truth
Infinite love is the only truth. Everything else is illusion.,David Icke,Truth
Hard times arouse an instinctive desire for authenticity.,Coco Chanel,Truth
The great advantage about telling the truth is that nobody ever believes it.,Dorothy L. Sayers,Truth
"Tell me I'm clever, Tell me I'm kind, Tell me I'm talented, Tell me I'm cute, Tell me I'm sensitive, Graceful and wise, Tell me I'm perfect - But tell me the truth.",Shel Silverstein,Truth
"Fear is not in the habit of speaking truth; when perfect sincerity is expected, perfect freedom must be allowed; nor has anyone who is apt to be angry when he hears the truth any cause to wonder that he does not hear it.",Tacitus,Truth
"Experience has shown, and a true philosophy will always show, that a vast, perhaps the larger portion of the truth arises from the seemingly irrelevant.",Edgar Allan Poe,Truth
Truth is not only violated by falsehood; it may be equally outraged by silence.,Henri Frederic Amiel,Truth
Truth disappears with the telling of it.,Lawrence Durrell,Truth
"If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things.",Rene Descartes,Truth
My longing for truth was a single prayer.,Edith Stein,Truth
The truth of the matter is that you always know the right thing to do. The hard part is doing it.,Robert H. Schuller,Truth
The truth needs so little rehearsal.,Barbara Kingsolver,Truth
What is truth? Truth doesn't really exist. Who is going to judge whether my experience of an incident is more valid than yours? No one can be trusted to be the judge of that.,Tracey Emin,Truth
There are certain persons for whom pure Truth is a poison.,Andre Maurois,Truth
"Be truthful, nature only sides with truth.",Adolf Loos,Truth
"I maintain that Truth is a pathless land, and you cannot approach it by any path whatsoever, by any religion, by any sect.",Jiddu Krishnamurti,Truth
There are some people so addicted to exaggeration that they can't tell the truth without lying.,Josh Billings,Truth
I don't believe it. Prove it to me and I still won't believe it.,Douglas Adams,Truth
Whatever has happened in my quest for innovation has been part of my quest for immaculate reality.,George Lucas,Truth
"Truth is always served by great minds, even if they fight it.",Jean Rostand,Truth
"If any man seeks for greatness, let him forget greatness and ask for truth, and he will find both.",Horace Mann,Truth
The intuition of free will gives us the truth.,Corliss Lamont,Truth
Gossip is called gossip because it's not always the truth.,Justin Timberlake,Truth
Truth sits upon the lips of dying men.,Matthew Arnold,Truth
"The stupid believe that to be truthful is easy; only the artist, the great artist, knows how difficult it is.",Willa Cather,Truth
"My mother taught me that when you stand in the truth and someone tells a lie about you, don't fight it.",Whitney Houston,Truth
Truth is a tendency.,R. Buckminster Fuller,Truth
It becomes more necessary to see the truth as it is if you realize that the only vehicle for change are these people who have lost their personality.,Steven Biko,Truth
"No one ever tells us the truth, even those we love.",Anna Held,Truth
"An error does not become truth by reason of multiplied propagation, nor does truth become error because nobody sees it.",Mahatma Gandhi,Truth
"For my part, whatever anguish of spirit it may cost, I am willing to know the whole truth; to know the worst and provide for it.",Patrick Henry,Truth
Sincerity is moral truth.,George Henry Lewes,Truth
"Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.",Mark Twain,Truth
The sad truth is that excellence makes people nervous.,Shana Alexander,Truth
"There are no facts, only interpretations.",Friedrich Nietzsche,Truth
Cynicism is an unpleasant way of saying the truth.,Lillian Hellman,Truth
