quotes,authors,categories
"Where there is great love, there are always wishes.",Willa Cather,Valentine's Day
Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,Thomas Merton,Valentine's Day
"The minute I heard my first love story, I started looking for you, not knowing how blind that was. Lovers don't finally meet somewhere. They're in each other all along.",Rumi,Valentine's Day
"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",A. A. Milne,Valentine's Day
The heart has its reasons of which reason knows nothing.,Blaise Pascal,Valentine's Day
If you have only one smile in you give it to the people you love.,Maya Angelou,Valentine's Day
"For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul.",Judy Garland,Valentine's Day
Love will find a way through paths where wolves fear to prey.,Lord Byron,Valentine's Day
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,Valentine's Day
Soul meets soul on lovers' lips.,Percy Bysshe Shelley,Valentine's Day
They invented hugs to let people know you love them without saying anything.,Bil Keane,Valentine's Day
"Now a soft kiss - Aye, by that kiss, I vow an endless bliss.",John Keats,Valentine's Day
I'd rather have roses on my table than diamonds on my neck.,Emma Goldman,Valentine's Day
"Doubt thou the stars are fire, Doubt that the sun doth move. Doubt truth to be a liar, But never doubt I love.",William Shakespeare,Valentine's Day
"I know of only one duty, and that is to love.",Albert Camus,Valentine's Day
We are most alive when we're in love.,John Updike,Valentine's Day
"If you press me to say why I loved him, I can say no more than because he was he, and I was I.",Michel de Montaigne,Valentine's Day
"Each time you love, love as deeply as if it were forever.",Audre Lorde,Valentine's Day
"Give me a kiss, and to that kiss a score; Then to that twenty, add a hundred more: A thousand to that hundred: so kiss on, To make that thousand up a million. Treble that million, and when that is done, Let's kiss afresh, as when we first begun.",Robert Herrick,Valentine's Day
"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.",W. H. Auden,Valentine's Day
"How did it happen that their lips came together? How does it happen that birds sing, that snow melts, that the rose unfolds, that the dawn whitens behind the stark shapes of trees on the quivering summit of the hill? A kiss, and all was said.",Victor Hugo,Valentine's Day
"The hours I spend with you I look upon as sort of a perfumed garden, a dim twilight, and a fountain singing to it. You and you alone make me feel that I am alive. Other men it is said have seen angels, but I have seen thee and thou art enough.",George Edward Moore,Valentine's Day
I'd kiss a frog even if there was no promise of a Prince Charming popping out of it. I love frogs.,Cameron Diaz,Valentine's Day
A kiss makes the heart young again and wipes out the years.,Rupert Brooke,Valentine's Day
"A friendship that like love is warm; A love like friendship, steady.",Thomas Moore,Valentine's Day
Kisses are a better fate than wisdom.,e. e. cummings,Valentine's Day
It is the passion that is in a kiss that gives to it its sweetness; it is the affection in a kiss that sanctifies it.,Christian Nestell Bovee,Valentine's Day
The Eskimos had fifty-two names for snow because it was important to them: there ought to be as many for love.,Margaret Atwood,Valentine's Day
"Look, there's no metaphysics on earth like chocolates.",Fernando Pessoa,Valentine's Day
