quotes,authors,categories
"There is no hunting like the hunting of man, and those who have hunted armed men long enough and liked it, never care for anything else thereafter.",Ernest Hemingway,War
"Know thy self, know thy enemy. A thousand battles, a thousand victories.",Sun Tzu,War
"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.",Albert Einstein,War
The object of war is not to die for your country but to make the other bastard die for his.,George S. Patton,War
"The more you sweat in peace, the less you bleed in war.",Norman Schwarzkopf,War
"We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.",Winston Churchill,War
War does not determine who is right - only who is left.,Bertrand Russell,War
Only the dead have seen the end of the war.,George Santayana,War
"It is well that war is so terrible, otherwise we should grow too fond of it.",Robert E. Lee,War
To be prepared for war is one of the most effective means of preserving peace.,George Washington,War
"In peace, sons bury their fathers. In war, fathers bury their sons.",Herodotus,War
"When the rich wage war, it's the poor who die.",Jean-Paul Sartre,War
"You must not fight too often with one enemy, or you will teach him all your art of war.",Napoleon Bonaparte,War
The two most powerful warriors are patience and time.,Leo Tolstoy,War
"If we don't end war, war will end us.",H. G. Wells,War
Older men declare war. But it is the youth that must fight and die.,Herbert Hoover,War
The great questions of the day will not be settled by means of speeches and majority decisions but by iron and blood.,Otto von Bismarck,War
There is no avoiding war; it can only be postponed to the advantage of others.,Niccolo Machiavelli,War
"The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that is the path of surrender, or submission.",John F. Kennedy,War
War: a massacre of people who don't know each other for the profit of people who know each other but don't massacre each other.,Paul Valery,War
"I am tired and sick of war. Its glory is all moonshine. It is only those who have neither fired a shot nor heard the shrieks and groans of the wounded who cry aloud for blood, for vengeance, for desolation. War is hell.",William Tecumseh Sherman,War
"I hate war as only a soldier who has lived it can, only as one who has seen its brutality, its futility, its stupidity.",Dwight D. Eisenhower,War
An unjust peace is better than a just war.,Marcus Tullius Cicero,War
You can no more win a war than you can win an earthquake.,Jeannette Rankin,War
The best weapon against an enemy is another enemy.,Friedrich Nietzsche,War
"All wars are civil wars, because all men are brothers.",Francois Fenelon,War
"The most shocking fact about war is that its victims and its instruments are individual human beings, and that these individual beings are condemned by the monstrous conventions of politics to murder or be murdered in quarrels not their own.",Aldous Huxley,War
The military don't start wars. Politicians start wars.,William Westmoreland,War
I must study politics and war that my sons may have liberty to study mathematics and philosophy.,John Adams,War
The most successful war seldom pays for its losses.,Thomas Jefferson,War
You can't say civilization don't advance... in every war they kill you in a new way.,Will Rogers,War
War is only a cowardly escape from the problems of peace.,Thomas Mann,War
Sometime they'll give a war and nobody will come.,Carl Sandburg,War
"There will one day spring from the brain of science a machine or force so fearful in its potentialities, so absolutely terrifying, that even man, the fighter, who will dare torture and death in order to inflict torture and death, will be appalled, and so abandon war forever.",Thomas A. Edison,War
War is a defeat for humanity.,Pope John Paul II,War
"Ours is a world of nuclear giants and ethical infants. We know more about war that we know about peace, more about killing that we know about living.",Omar N. Bradley,War
"War is an ugly thing, but not the ugliest of things. The decayed and degraded state of moral and patriotic feeling which thinks that nothing is worth war is much worse.",John Stuart Mill,War
I have not yet begun to fight!,John Paul Jones,War
I'm fed up to the ears with old men dreaming up wars for young men to die in.,George McGovern,War
All warfare is based on deception.,Unknown,War
"I will not play tug o' war. I'd rather play hug o' war. Where everyone hugs instead of tugs, Where everyone giggles and rolls on the rug, Where everyone kisses, and everyone grins, and everyone cuddles, and everyone wins.",Shel Silverstein,War
"Conquered, we conquer.",Plautus,War
"To win this war, we need a commander in chief, not a professor of law standing at the lectern.",Sarah Palin,War
Sweat saves blood.,Erwin Rommel,War
A state of war only serves as an excuse for domestic tyranny.,Aleksandr Solzhenitsyn,War
"War is cruelty, and none can make it gentle.",Gilbert Parker,War
War is not an adventure. It is a disease. It is like typhus.,Antoine de Saint-Exupery,War
War is the science of destruction.,John Abbott,War
"If it were a fact, it wouldn't be called intelligence.",Donald Rumsfeld,War
Ten soldiers wisely led will beat a hundred without a head.,Euripides,War
"Can anything be stupider than that a man has the right to kill me because he lives on the other side of a river and his ruler has a quarrel with mine, though I have not quarrelled with him?",Blaise Pascal,War
War is a series of catastrophes which result in victory.,Albert Pike,War
The first casualty when war comes is truth.,Hiram Johnson,War
It is not only the living who are killed in war.,Isaac Asimov,War
"Yesterday, December seventh, 1941, a date which will live in infamy, the United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan. We will gain the inevitable triumph, so help us God.",Franklin D. Roosevelt,War
"If it's natural to kill, how come men have to go into training to learn how?",Joan Baez,War
War grows out of the desire of the individual to gain advantage at the expense of his fellow man.,Napoleon Hill,War
"The direct use of force is such a poor solution to any problem, it is generally employed only by small children and large nations.",David Friedman,War
"War never takes a wicked man by chance, the good man always.",Sophocles,War
Wars have never hurt anybody except the people who die.,Salvador Dali,War
There is nothing that war has ever achieved that we could not better achieve without it.,Havelock Ellis,War
"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.",Sun Tzu,War
"We are all tourists in history, and irony is what we win in wars.",Anatole Broyard,War
A visitor from Mars could easily pick out the civilized nations. They have the best implements of war.,Herbert V. Prochnow,War
We have war when at least one of the parties to a conflict wants something more than it wants peace.,Jeane Kirkpatrick,War
"Build me a son, O Lord, who will be strong enough to know when he is weak, and brave enough to face himself when he is afraid, one who will be proud and unbending in honest defeat, and humble and gentle in victory.",Douglas MacArthur,War
What is human warfare but just this; an effort to make the laws of God and nature take sides with one party.,Henry David Thoreau,War
War is the unfolding of miscalculations.,Barbara W. Tuchman,War
The surest way to prevent war is not to fear it.,John Randolph,War
Mankind must put an end to war before war puts an end to mankind.,John F. Kennedy,War
"Remember, God provides the best camouflage several hours out of every 24.",David M. Shoup,War
"War is cruelty. There is no use trying to reform it. The crueler it is, the sooner it will be over.",William Tecumseh Sherman,War
A lasting order cannot be established by bayonets.,Ludwig von Mises,War
"In wartime, truth is so precious that she should always be attended by a bodyguard of lies.",Winston Churchill,War
"War, I have always said, forces men to change their standards, regardless of whether their country has won or lost.",Salvatore Quasimodo,War
The supreme art of war is to subdue the enemy without fighting.,Sun Tzu,War
It is incumbent on every generation to pay its own debts as it goes. A principle which if acted on would save one-half the wars of the world.,Thomas Jefferson,War
You cannot simultaneously prevent and prepare for war.,Albert Einstein,War
We must concentrate not merely on the negative expulsion of war but the postive affirmation of peace.,"Martin Luther King, Jr.",War
War would end if the dead could return.,Stanley Baldwin,War
How is the world ruled and led to war? Diplomats lie to journalists and believe these lies when they see them in print.,Karl Kraus,War
"A pint of sweat, saves a gallon of blood.",George S. Patton,War
"My first wish is to see this plague of mankind, war, banished from the earth.",George Washington,War
"The State thrives on war - unless, of course, it is defeated and crushed - expands on it, glories in it.",Murray Rothbard,War
"Every gun that is made, every warship launched, every rocket fired, signifies in the final sense a theft from those who hunger and are not fed, those who are cold and are not clothed.",Dwight D. Eisenhower,War
War remains the decisive human failure.,John Kenneth Galbraith,War
"Never think that war, no matter how necessary, nor how justified, is not a crime.",Ernest Hemingway,War
No country can act wisely simultaneously in every part of the globe at every moment of time.,Henry Kissinger,War
There is no instance of a nation benefitting from prolonged warfare.,Sun Tzu,War
War is hell.,William Tecumseh Sherman,War
"There was never a good war, or a bad peace.",Benjamin Franklin,War
What a cruel thing war is... to fill our hearts with hatred instead of love for our neighbors.,Robert E. Lee,War
"In war, you win or lose, live or die - and the difference is just an eyelash.",Douglas MacArthur,War
War is fear cloaked in courage.,William Westmoreland,War
The philosophy of protectionism is a philosophy of war.,Ludwig von Mises,War
"Wars can be prevented just as surely as they can be provoked, and we who fail to prevent them, must share the guilt for the dead.",Omar N. Bradley,War
War will exist until that distant day when the conscientious objector enjoys the same reputation and prestige that the warrior does today.,John F. Kennedy,War
The great object is that every man be armed.,Patrick Henry,War
An army marches on its stomach.,Napoleon Bonaparte,War
War makes thieves and peace hangs them.,George Herbert,War
I have never advocated war except as a means of peace.,Ulysses S. Grant,War
"It seems like such a terrible shame that innocent civilians have to get hurt in wars, otherwise combat would be such a wonderfully healthy way to rid the human race of unneeded trash.",Fred Woodworth,War
When the war of the giants is over the wars of the pygmies will begin.,Winston Churchill,War
In battle it is the cowards who run the most risk; bravery is a rampart of defense.,Sallust,War
Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.,George S. Patton,War
We are going to have peace even if we have to fight for it.,Dwight D. Eisenhower,War
"If we desire to avoid insult, we must be able to repel it; if we desire to secure peace, one of the most powerful instruments of our rising prosperity, it must be known, that we are at all times ready for War.",George Washington,War
In modern war... you will die like a dog for no good reason.,Ernest Hemingway,War
It has too often been too easy for rulers and governments to incite man to war.,Lester B. Pearson,War
It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.,Voltaire,War
One of the greatest casualties of the war in Vietnam is the Great Society... shot down on the battlefield of Vietnam.,"Martin Luther King, Jr.",War
Patriots always talk of dying for their country and never of killing for their country.,Bertrand Russell,War
Great is the guilt of an unnecessary war.,John Adams,War
Man has no right to kill his brother. It is no excuse that he does so in uniform: he only adds the infamy of servitude to the crime of murder.,Percy Bysshe Shelley,War
"Wars are not paid for in wartime, the bill comes later.",Benjamin Franklin,War
The way to win an atomic war is to make certain it never starts.,Omar N. Bradley,War
