quotes,authors,categories
A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.,Eleanor Roosevelt,Women
"If you want something said, ask a man; if you want something done, ask a woman.",Margaret Thatcher,Women
"Women, like men, should try to do the impossible. And when they fail, their failure should be a challenge to others.",Amelia Earhart,Women
Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,Oprah Winfrey,Women
"Women, can't live with them, can't live without them.",Desiderius Erasmus,Women
Women hold up half the sky.,Mao Zedong,Women
I measure the progress of a community by the degree of progress which women have achieved.,B. R. Ambedkar,Women
A girl should be two things: classy and fabulous.,Coco Chanel,Women
"Ah, women. They make the highs higher and the lows more frequent.",Friedrich Nietzsche,Women
Women who seek to be equal with men lack ambition.,Timothy Leary,Women
"Whatever women do, they must do twice as well as men to be thought half as good. Luckily, this is not difficult.",Charlotte Whitton,Women
"I write for those women who do not speak, for those who do not have a voice because they were so terrified, because we are taught to respect fear more than ourselves. We've been taught that silence would save us, but it won't.",Audre Lorde,Women
"Wives are young men's mistresses, companions for middle age, and old men's nurses.",Francis Bacon,Women
"Any time women come together with a collective intention, it's a powerful thing. Whether it's sitting down making a quilt, in a kitchen preparing a meal, in a club reading the same book, or around the table playing cards, or planning a birthday party, when women come together with a collective intention, magic happens.",Phylicia Rashad,Women
I do not wish women to have power over men; but over themselves.,Mary Shelley,Women
Man does not control his own fate. The women in his life do that for him.,Groucho Marx,Women
Women are the real architects of society.,Cher,Women
Men are by nature merely indifferent to one another; but women are by nature enemies.,Arthur Schopenhauer,Women
"As usual, there is a great woman behind every idiot.",John Lennon,Women
Women need real moments of solitude and self-reflection to balance out how much of ourselves we give away.,Barbara De Angelis,Women
No doubt exists that all women are crazy; it's only a question of degree.,W. C. Fields,Women
Clever and attractive women do not want to vote; they are willing to let men govern as long as they govern men.,George Bernard Shaw,Women
"Being a woman is a terribly difficult task, since it consists principally in dealing with men.",Joseph Conrad,Women
"In our society, the women who break down barriers are those who ignore limits.",Arnold Schwarzenegger,Women
